epoch: 0, best_acc: 0.030174, current_acc: 0.03017
epoch: 1, best_acc: 0.131700, current_acc: 0.13170
epoch: 2, best_acc: 0.354988, current_acc: 0.35499
epoch: 3, best_acc: 0.476393, current_acc: 0.47639
epoch: 4, best_acc: 0.501597, current_acc: 0.50160
epoch: 5, best_acc: 0.558040, current_acc: 0.55804
epoch: 6, best_acc: 0.558040, current_acc: 0.55520
epoch: 7, best_acc: 0.583955, current_acc: 0.58395
epoch: 8, best_acc: 0.583955, current_acc: 0.58111
epoch: 9, best_acc: 0.598154, current_acc: 0.59815
epoch: 10, best_acc: 0.601704, current_acc: 0.60170
epoch: 11, best_acc: 0.604189, current_acc: 0.60419
epoch: 12, best_acc: 0.605254, current_acc: 0.60525
epoch: 13, best_acc: 0.609869, current_acc: 0.60987
epoch: 14, best_acc: 0.609869, current_acc: 0.60312
epoch: 15, best_acc: 0.613774, current_acc: 0.61377
epoch: 16, best_acc: 0.615193, current_acc: 0.61519
epoch: 17, best_acc: 0.615193, current_acc: 0.61413
epoch: 18, best_acc: 0.616968, current_acc: 0.61697
epoch: 19, best_acc: 0.616968, current_acc: 0.61626
epoch: 20, best_acc: 0.616968, current_acc: 0.61235
epoch: 21, best_acc: 0.623358, current_acc: 0.62336
epoch: 22, best_acc: 0.623358, current_acc: 0.61555
epoch: 23, best_acc: 0.623358, current_acc: 0.61413
epoch: 24, best_acc: 0.623358, current_acc: 0.62087
epoch: 25, best_acc: 0.623358, current_acc: 0.61945
epoch: 26, best_acc: 0.623358, current_acc: 0.61981
epoch: 27, best_acc: 0.623358, current_acc: 0.61803
epoch: 28, best_acc: 0.623358, current_acc: 0.61981
epoch: 29, best_acc: 0.623358, current_acc: 0.61519
epoch: 30, best_acc: 0.623358, current_acc: 0.61768
epoch: 31, best_acc: 0.623358, current_acc: 0.61484
epoch: 32, best_acc: 0.623358, current_acc: 0.61448
epoch: 33, best_acc: 0.623358, current_acc: 0.61839
epoch: 34, best_acc: 0.624068, current_acc: 0.62407
epoch: 35, best_acc: 0.631168, current_acc: 0.63117
epoch: 36, best_acc: 0.631168, current_acc: 0.61839
epoch: 37, best_acc: 0.631168, current_acc: 0.62300
epoch: 38, best_acc: 0.631168, current_acc: 0.62620
epoch: 39, best_acc: 0.631168, current_acc: 0.61874
epoch: 40, best_acc: 0.631168, current_acc: 0.61874
epoch: 41, best_acc: 0.631168, current_acc: 0.61981
epoch: 42, best_acc: 0.631168, current_acc: 0.62300
epoch: 43, best_acc: 0.631168, current_acc: 0.62052
epoch: 44, best_acc: 0.631168, current_acc: 0.62336
epoch: 45, best_acc: 0.631168, current_acc: 0.62265
epoch: 46, best_acc: 0.631168, current_acc: 0.62123
epoch: 47, best_acc: 0.631168, current_acc: 0.62513
epoch: 48, best_acc: 0.631168, current_acc: 0.62691
epoch: 49, best_acc: 0.631168, current_acc: 0.62052
epoch: 50, best_acc: 0.631168, current_acc: 0.62087
epoch: 51, best_acc: 0.631168, current_acc: 0.61803
epoch: 52, best_acc: 0.631168, current_acc: 0.62158
epoch: 53, best_acc: 0.631168, current_acc: 0.62158
epoch: 54, best_acc: 0.631168, current_acc: 0.62407
epoch: 55, best_acc: 0.631168, current_acc: 0.62052
epoch: 56, best_acc: 0.631168, current_acc: 0.61732
epoch: 57, best_acc: 0.631168, current_acc: 0.62300
epoch: 58, best_acc: 0.631168, current_acc: 0.61981
epoch: 59, best_acc: 0.631168, current_acc: 0.62087
epoch: 60, best_acc: 0.631168, current_acc: 0.62052
epoch: 61, best_acc: 0.631168, current_acc: 0.62407
epoch: 62, best_acc: 0.631168, current_acc: 0.62300
epoch: 63, best_acc: 0.631168, current_acc: 0.62087
epoch: 64, best_acc: 0.631168, current_acc: 0.61981
epoch: 65, best_acc: 0.631168, current_acc: 0.62478
epoch: 66, best_acc: 0.631168, current_acc: 0.62513
epoch: 67, best_acc: 0.631168, current_acc: 0.61590
epoch: 68, best_acc: 0.631168, current_acc: 0.62584
epoch: 69, best_acc: 0.631168, current_acc: 0.61768
epoch: 70, best_acc: 0.631168, current_acc: 0.62584
epoch: 71, best_acc: 0.631168, current_acc: 0.62584
epoch: 72, best_acc: 0.631168, current_acc: 0.62549
epoch: 73, best_acc: 0.631168, current_acc: 0.61981
epoch: 74, best_acc: 0.631168, current_acc: 0.61590
epoch: 75, best_acc: 0.631168, current_acc: 0.62478
epoch: 76, best_acc: 0.631168, current_acc: 0.61661
epoch: 77, best_acc: 0.631168, current_acc: 0.62797
epoch: 78, best_acc: 0.631168, current_acc: 0.62016
epoch: 79, best_acc: 0.631168, current_acc: 0.61945
epoch: 80, best_acc: 0.631168, current_acc: 0.61519
epoch: 81, best_acc: 0.631168, current_acc: 0.62123
epoch: 82, best_acc: 0.631168, current_acc: 0.62016
epoch: 83, best_acc: 0.631168, current_acc: 0.62726
epoch: 84, best_acc: 0.631168, current_acc: 0.62797
epoch: 85, best_acc: 0.631168, current_acc: 0.62336
epoch: 86, best_acc: 0.631168, current_acc: 0.62229
epoch: 87, best_acc: 0.631168, current_acc: 0.62265
epoch: 88, best_acc: 0.631168, current_acc: 0.62655
epoch: 89, best_acc: 0.631168, current_acc: 0.62407
epoch: 90, best_acc: 0.631168, current_acc: 0.62513
epoch: 91, best_acc: 0.631168, current_acc: 0.61945
epoch: 92, best_acc: 0.631168, current_acc: 0.61945
epoch: 93, best_acc: 0.631168, current_acc: 0.62123
epoch: 94, best_acc: 0.631168, current_acc: 0.62726
epoch: 95, best_acc: 0.631168, current_acc: 0.62442
