epoch: 0, best_acc: 0.024096, current_acc: 0.02410
epoch: 1, best_acc: 0.070281, current_acc: 0.07028
epoch: 2, best_acc: 0.090361, current_acc: 0.09036
epoch: 3, best_acc: 0.106426, current_acc: 0.10643
epoch: 4, best_acc: 0.196787, current_acc: 0.19679
epoch: 5, best_acc: 0.313253, current_acc: 0.31325
epoch: 6, best_acc: 0.351406, current_acc: 0.35141
epoch: 7, best_acc: 0.371486, current_acc: 0.37149
epoch: 8, best_acc: 0.542169, current_acc: 0.54217
epoch: 9, best_acc: 0.630522, current_acc: 0.63052
epoch: 10, best_acc: 0.736948, current_acc: 0.73695
epoch: 11, best_acc: 0.761044, current_acc: 0.76104
epoch: 12, best_acc: 0.795181, current_acc: 0.79518
epoch: 13, best_acc: 0.869478, current_acc: 0.86948
epoch: 14, best_acc: 0.869478, current_acc: 0.86546
epoch: 15, best_acc: 0.869478, current_acc: 0.85341
epoch: 16, best_acc: 0.897590, current_acc: 0.89759
epoch: 17, best_acc: 0.905622, current_acc: 0.90562
epoch: 18, best_acc: 0.905622, current_acc: 0.88554
epoch: 19, best_acc: 0.925703, current_acc: 0.92570
epoch: 20, best_acc: 0.925703, current_acc: 0.91767
epoch: 21, best_acc: 0.925703, current_acc: 0.91968
epoch: 22, best_acc: 0.933735, current_acc: 0.93373
epoch: 23, best_acc: 0.939759, current_acc: 0.93976
epoch: 24, best_acc: 0.939759, current_acc: 0.91165
epoch: 25, best_acc: 0.939759, current_acc: 0.93775
epoch: 26, best_acc: 0.939759, current_acc: 0.93574
epoch: 27, best_acc: 0.939759, current_acc: 0.92771
epoch: 28, best_acc: 0.939759, current_acc: 0.93976
epoch: 29, best_acc: 0.939759, current_acc: 0.93373
epoch: 30, best_acc: 0.951807, current_acc: 0.95181
epoch: 31, best_acc: 0.951807, current_acc: 0.93976
epoch: 32, best_acc: 0.951807, current_acc: 0.94578
epoch: 33, best_acc: 0.951807, current_acc: 0.94378
epoch: 34, best_acc: 0.951807, current_acc: 0.95181
epoch: 35, best_acc: 0.957831, current_acc: 0.95783
epoch: 36, best_acc: 0.957831, current_acc: 0.94578
epoch: 37, best_acc: 0.957831, current_acc: 0.94378
epoch: 38, best_acc: 0.957831, current_acc: 0.94980
epoch: 39, best_acc: 0.957831, current_acc: 0.95582
epoch: 40, best_acc: 0.957831, current_acc: 0.95582
epoch: 41, best_acc: 0.957831, current_acc: 0.94578
epoch: 42, best_acc: 0.957831, current_acc: 0.95382
epoch: 43, best_acc: 0.961847, current_acc: 0.96185
epoch: 44, best_acc: 0.961847, current_acc: 0.95582
epoch: 45, best_acc: 0.963855, current_acc: 0.96386
epoch: 46, best_acc: 0.963855, current_acc: 0.95181
epoch: 47, best_acc: 0.963855, current_acc: 0.95382
epoch: 48, best_acc: 0.963855, current_acc: 0.96185
epoch: 49, best_acc: 0.963855, current_acc: 0.95783
epoch: 50, best_acc: 0.963855, current_acc: 0.95582
epoch: 51, best_acc: 0.967871, current_acc: 0.96787
epoch: 52, best_acc: 0.967871, current_acc: 0.95382
epoch: 53, best_acc: 0.967871, current_acc: 0.95181
epoch: 54, best_acc: 0.967871, current_acc: 0.96185
epoch: 55, best_acc: 0.967871, current_acc: 0.95582
