epoch: 0, best_acc: 0.023784, current_acc: 0.02378
epoch: 1, best_acc: 0.545971, current_acc: 0.54597
epoch: 2, best_acc: 0.545971, current_acc: 0.54455
epoch: 3, best_acc: 0.545971, current_acc: 0.54100
epoch: 4, best_acc: 0.549166, current_acc: 0.54917
epoch: 5, best_acc: 0.549166, current_acc: 0.54313
epoch: 6, best_acc: 0.549166, current_acc: 0.53710
epoch: 7, best_acc: 0.549166, current_acc: 0.53426
epoch: 8, best_acc: 0.549166, current_acc: 0.54171
epoch: 9, best_acc: 0.549166, current_acc: 0.54633
epoch: 10, best_acc: 0.549166, current_acc: 0.54278
epoch: 11, best_acc: 0.557685, current_acc: 0.55769
epoch: 12, best_acc: 0.557685, current_acc: 0.52929
epoch: 13, best_acc: 0.557685, current_acc: 0.52361
epoch: 14, best_acc: 0.557685, current_acc: 0.51225
epoch: 15, best_acc: 0.557685, current_acc: 0.52290
epoch: 16, best_acc: 0.557685, current_acc: 0.53284
epoch: 17, best_acc: 0.557685, current_acc: 0.52751
epoch: 18, best_acc: 0.557685, current_acc: 0.53674
epoch: 19, best_acc: 0.557685, current_acc: 0.55165
epoch: 20, best_acc: 0.557685, current_acc: 0.54455
epoch: 21, best_acc: 0.557685, current_acc: 0.53426
epoch: 22, best_acc: 0.557685, current_acc: 0.53568
epoch: 23, best_acc: 0.558395, current_acc: 0.55840
epoch: 24, best_acc: 0.558395, current_acc: 0.53887
epoch: 25, best_acc: 0.558395, current_acc: 0.52787
epoch: 26, best_acc: 0.558395, current_acc: 0.54810
epoch: 27, best_acc: 0.558395, current_acc: 0.54810
epoch: 28, best_acc: 0.559105, current_acc: 0.55911
epoch: 29, best_acc: 0.559105, current_acc: 0.55449
epoch: 30, best_acc: 0.559105, current_acc: 0.53816
epoch: 31, best_acc: 0.559105, current_acc: 0.53461
epoch: 32, best_acc: 0.559105, current_acc: 0.53319
epoch: 33, best_acc: 0.559105, current_acc: 0.54597
epoch: 34, best_acc: 0.559105, current_acc: 0.54029
