epoch: 0, best_acc: 0.027334, current_acc: 0.02733
epoch: 1, best_acc: 0.135250, current_acc: 0.13525
epoch: 2, best_acc: 0.317004, current_acc: 0.31700
epoch: 3, best_acc: 0.462194, current_acc: 0.46219
epoch: 4, best_acc: 0.547391, current_acc: 0.54739
epoch: 5, best_acc: 0.573305, current_acc: 0.57330
epoch: 6, best_acc: 0.609514, current_acc: 0.60951
epoch: 7, best_acc: 0.609869, current_acc: 0.60987
epoch: 8, best_acc: 0.624423, current_acc: 0.62442
epoch: 9, best_acc: 0.628683, current_acc: 0.62868
epoch: 10, best_acc: 0.633653, current_acc: 0.63365
epoch: 11, best_acc: 0.633653, current_acc: 0.62513
epoch: 12, best_acc: 0.633653, current_acc: 0.62939
epoch: 13, best_acc: 0.633653, current_acc: 0.62939
epoch: 14, best_acc: 0.633653, current_acc: 0.63010
epoch: 15, best_acc: 0.638623, current_acc: 0.63862
epoch: 16, best_acc: 0.643592, current_acc: 0.64359
epoch: 17, best_acc: 0.643592, current_acc: 0.64004
epoch: 18, best_acc: 0.643592, current_acc: 0.64217
epoch: 19, best_acc: 0.643592, current_acc: 0.63578
epoch: 20, best_acc: 0.643592, current_acc: 0.64111
epoch: 21, best_acc: 0.643592, current_acc: 0.63898
epoch: 22, best_acc: 0.644657, current_acc: 0.64466
epoch: 23, best_acc: 0.644657, current_acc: 0.63827
epoch: 24, best_acc: 0.644657, current_acc: 0.64324
epoch: 25, best_acc: 0.644657, current_acc: 0.63472
epoch: 26, best_acc: 0.648917, current_acc: 0.64892
epoch: 27, best_acc: 0.648917, current_acc: 0.64395
epoch: 28, best_acc: 0.648917, current_acc: 0.63898
epoch: 29, best_acc: 0.648917, current_acc: 0.64856
epoch: 30, best_acc: 0.649627, current_acc: 0.64963
epoch: 31, best_acc: 0.649627, current_acc: 0.64288
epoch: 32, best_acc: 0.649627, current_acc: 0.63791
epoch: 33, best_acc: 0.649627, current_acc: 0.64146
epoch: 34, best_acc: 0.649627, current_acc: 0.64395
epoch: 35, best_acc: 0.649627, current_acc: 0.63614
epoch: 36, best_acc: 0.649627, current_acc: 0.64785
epoch: 37, best_acc: 0.649627, current_acc: 0.64572
epoch: 38, best_acc: 0.652467, current_acc: 0.65247
epoch: 39, best_acc: 0.652467, current_acc: 0.65034
epoch: 40, best_acc: 0.652467, current_acc: 0.64288
epoch: 41, best_acc: 0.652467, current_acc: 0.64182
epoch: 42, best_acc: 0.652467, current_acc: 0.64501
epoch: 43, best_acc: 0.652467, current_acc: 0.64750
epoch: 44, best_acc: 0.652467, current_acc: 0.64324
epoch: 45, best_acc: 0.652467, current_acc: 0.64892
epoch: 46, best_acc: 0.652467, current_acc: 0.64182
epoch: 47, best_acc: 0.652467, current_acc: 0.64856
epoch: 48, best_acc: 0.653532, current_acc: 0.65353
epoch: 49, best_acc: 0.653532, current_acc: 0.64572
epoch: 50, best_acc: 0.653532, current_acc: 0.65353
epoch: 51, best_acc: 0.653532, current_acc: 0.65105
epoch: 52, best_acc: 0.653532, current_acc: 0.64927
epoch: 53, best_acc: 0.653532, current_acc: 0.65034
epoch: 54, best_acc: 0.653532, current_acc: 0.64501
epoch: 55, best_acc: 0.653532, current_acc: 0.65211
epoch: 56, best_acc: 0.653532, current_acc: 0.64821
epoch: 57, best_acc: 0.656727, current_acc: 0.65673
epoch: 58, best_acc: 0.656727, current_acc: 0.64892
epoch: 59, best_acc: 0.656727, current_acc: 0.65389
epoch: 60, best_acc: 0.656727, current_acc: 0.65353
epoch: 61, best_acc: 0.659922, current_acc: 0.65992
epoch: 62, best_acc: 0.659922, current_acc: 0.65673
epoch: 63, best_acc: 0.659922, current_acc: 0.65140
epoch: 64, best_acc: 0.659922, current_acc: 0.65389
epoch: 65, best_acc: 0.659922, current_acc: 0.65140
epoch: 66, best_acc: 0.659922, current_acc: 0.64679
epoch: 67, best_acc: 0.659922, current_acc: 0.65140
epoch: 68, best_acc: 0.659922, current_acc: 0.65282
epoch: 69, best_acc: 0.659922, current_acc: 0.65353
epoch: 70, best_acc: 0.659922, current_acc: 0.64608
epoch: 71, best_acc: 0.659922, current_acc: 0.65389
epoch: 72, best_acc: 0.659922, current_acc: 0.65282
epoch: 73, best_acc: 0.659922, current_acc: 0.65247
epoch: 74, best_acc: 0.659922, current_acc: 0.65176
epoch: 75, best_acc: 0.659922, current_acc: 0.65176
epoch: 76, best_acc: 0.659922, current_acc: 0.65708
epoch: 77, best_acc: 0.659922, current_acc: 0.64963
epoch: 78, best_acc: 0.659922, current_acc: 0.65176
epoch: 79, best_acc: 0.659922, current_acc: 0.65602
epoch: 80, best_acc: 0.659922, current_acc: 0.65495
epoch: 81, best_acc: 0.659922, current_acc: 0.64856
epoch: 82, best_acc: 0.659922, current_acc: 0.65389
epoch: 83, best_acc: 0.659922, current_acc: 0.65566
epoch: 84, best_acc: 0.659922, current_acc: 0.65886
epoch: 85, best_acc: 0.659922, current_acc: 0.65815
epoch: 86, best_acc: 0.659922, current_acc: 0.65744
epoch: 87, best_acc: 0.659922, current_acc: 0.65282
epoch: 88, best_acc: 0.659922, current_acc: 0.65531
epoch: 89, best_acc: 0.659922, current_acc: 0.65460
epoch: 90, best_acc: 0.659922, current_acc: 0.65886
epoch: 91, best_acc: 0.659922, current_acc: 0.65176
epoch: 92, best_acc: 0.659922, current_acc: 0.65992
epoch: 93, best_acc: 0.659922, current_acc: 0.65495
epoch: 94, best_acc: 0.659922, current_acc: 0.65318
epoch: 95, best_acc: 0.659922, current_acc: 0.65566
epoch: 96, best_acc: 0.659922, current_acc: 0.64963
epoch: 97, best_acc: 0.659922, current_acc: 0.65637
epoch: 98, best_acc: 0.659922, current_acc: 0.65140
epoch: 99, best_acc: 0.659922, current_acc: 0.65389
epoch: 100, best_acc: 0.659922, current_acc: 0.65247
epoch: 101, best_acc: 0.659922, current_acc: 0.65637
epoch: 102, best_acc: 0.659922, current_acc: 0.65708
epoch: 103, best_acc: 0.659922, current_acc: 0.65673
epoch: 104, best_acc: 0.659922, current_acc: 0.65211
epoch: 105, best_acc: 0.659922, current_acc: 0.65566
epoch: 106, best_acc: 0.659922, current_acc: 0.65389
epoch: 107, best_acc: 0.659922, current_acc: 0.65389
epoch: 108, best_acc: 0.659922, current_acc: 0.65460
epoch: 109, best_acc: 0.659922, current_acc: 0.65673
epoch: 110, best_acc: 0.659922, current_acc: 0.65424
epoch: 111, best_acc: 0.659922, current_acc: 0.65140
