epoch: 0, best_acc: 0.030529, current_acc: 0.03053
epoch: 1, best_acc: 0.107206, current_acc: 0.10721
epoch: 2, best_acc: 0.384807, current_acc: 0.38481
epoch: 3, best_acc: 0.450124, current_acc: 0.45012
epoch: 4, best_acc: 0.522187, current_acc: 0.52219
epoch: 5, best_acc: 0.547391, current_acc: 0.54739
epoch: 6, best_acc: 0.576145, current_acc: 0.57614
epoch: 7, best_acc: 0.587504, current_acc: 0.58750
epoch: 8, best_acc: 0.602769, current_acc: 0.60277
epoch: 9, best_acc: 0.602769, current_acc: 0.60028
epoch: 10, best_acc: 0.613064, current_acc: 0.61306
epoch: 11, best_acc: 0.614483, current_acc: 0.61448
epoch: 12, best_acc: 0.614483, current_acc: 0.61022
epoch: 13, best_acc: 0.619453, current_acc: 0.61945
epoch: 14, best_acc: 0.620163, current_acc: 0.62016
epoch: 15, best_acc: 0.628328, current_acc: 0.62833
epoch: 16, best_acc: 0.628328, current_acc: 0.62194
epoch: 17, best_acc: 0.628328, current_acc: 0.62691
epoch: 18, best_acc: 0.628328, current_acc: 0.62726
epoch: 19, best_acc: 0.628328, current_acc: 0.62371
epoch: 20, best_acc: 0.628328, current_acc: 0.62726
epoch: 21, best_acc: 0.637203, current_acc: 0.63720
epoch: 22, best_acc: 0.637203, current_acc: 0.63117
epoch: 23, best_acc: 0.637203, current_acc: 0.63720
epoch: 24, best_acc: 0.638268, current_acc: 0.63827
epoch: 25, best_acc: 0.640398, current_acc: 0.64040
epoch: 26, best_acc: 0.640398, current_acc: 0.63827
epoch: 27, best_acc: 0.640398, current_acc: 0.63472
epoch: 28, best_acc: 0.640398, current_acc: 0.63507
epoch: 29, best_acc: 0.644657, current_acc: 0.64466
epoch: 30, best_acc: 0.644657, current_acc: 0.63543
epoch: 31, best_acc: 0.644657, current_acc: 0.63472
epoch: 32, best_acc: 0.644657, current_acc: 0.63933
epoch: 33, best_acc: 0.644657, current_acc: 0.63827
epoch: 34, best_acc: 0.645722, current_acc: 0.64572
epoch: 35, best_acc: 0.645722, current_acc: 0.63720
epoch: 36, best_acc: 0.645722, current_acc: 0.64075
epoch: 37, best_acc: 0.645722, current_acc: 0.63720
epoch: 38, best_acc: 0.645722, current_acc: 0.64182
epoch: 39, best_acc: 0.645722, current_acc: 0.64324
epoch: 40, best_acc: 0.645722, current_acc: 0.64253
epoch: 41, best_acc: 0.648917, current_acc: 0.64892
epoch: 42, best_acc: 0.648917, current_acc: 0.64324
epoch: 43, best_acc: 0.648917, current_acc: 0.64572
epoch: 44, best_acc: 0.648917, current_acc: 0.63933
epoch: 45, best_acc: 0.648917, current_acc: 0.63578
epoch: 46, best_acc: 0.648917, current_acc: 0.64359
epoch: 47, best_acc: 0.648917, current_acc: 0.64182
epoch: 48, best_acc: 0.648917, current_acc: 0.64004
epoch: 49, best_acc: 0.648917, current_acc: 0.64111
epoch: 50, best_acc: 0.648917, current_acc: 0.64359
epoch: 51, best_acc: 0.648917, current_acc: 0.64537
epoch: 52, best_acc: 0.648917, current_acc: 0.63933
epoch: 53, best_acc: 0.648917, current_acc: 0.64679
epoch: 54, best_acc: 0.648917, current_acc: 0.63827
epoch: 55, best_acc: 0.648917, current_acc: 0.64679
epoch: 56, best_acc: 0.648917, current_acc: 0.63933
