Namespace(all_use=True, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\mnist_usps_all_use\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=False, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='mnist', source_loader='mcd', supplementary_info='solver_fixed.py, --one_step=False', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=0.1, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0]	Loss1:2.391238	Loss2:2.431764	Discrepancy:0.054159
Train Epoch:0 [batch_index:100]	Loss1:1.012835	Loss2:1.068859	Discrepancy:0.063397
Train Epoch:0 [batch_index:200]	Loss1:0.562627	Loss2:0.602063	Discrepancy:0.058369
Train Epoch:0 [batch_index:300]	Loss1:0.342142	Loss2:0.412896	Discrepancy:0.057439
Train Epoch:0 [batch_index:400]	Loss1:0.305947	Loss2:0.325738	Discrepancy:0.042710
Train Epoch:1 [batch_index:0]	Loss1:0.345126	Loss2:0.298087	Discrepancy:0.042274
Train Epoch:1 [batch_index:100]	Loss1:0.275721	Loss2:0.251946	Discrepancy:0.035493
Train Epoch:1 [batch_index:200]	Loss1:0.171135	Loss2:0.140697	Discrepancy:0.032326
Train Epoch:1 [batch_index:300]	Loss1:0.094927	Loss2:0.203869	Discrepancy:0.026538
Train Epoch:1 [batch_index:400]	Loss1:0.055730	Loss2:0.080981	Discrepancy:0.028534
Train Epoch:2 [batch_index:0]	Loss1:0.184640	Loss2:0.154519	Discrepancy:0.030540
Train Epoch:2 [batch_index:100]	Loss1:0.165762	Loss2:0.129797	Discrepancy:0.023189
Train Epoch:2 [batch_index:200]	Loss1:0.169729	Loss2:0.180000	Discrepancy:0.030832
Train Epoch:2 [batch_index:300]	Loss1:0.134270	Loss2:0.073512	Discrepancy:0.026270
Train Epoch:2 [batch_index:400]	Loss1:0.059908	Loss2:0.093362	Discrepancy:0.026141
Train Epoch:3 [batch_index:0]	Loss1:0.092808	Loss2:0.211167	Discrepancy:0.022671
Train Epoch:3 [batch_index:100]	Loss1:0.085839	Loss2:0.134823	Discrepancy:0.024875
Train Epoch:3 [batch_index:200]	Loss1:0.087918	Loss2:0.064658	Discrepancy:0.025390
Train Epoch:3 [batch_index:300]	Loss1:0.086071	Loss2:0.149559	Discrepancy:0.019783
Train Epoch:3 [batch_index:400]	Loss1:0.144992	Loss2:0.120299	Discrepancy:0.022406
Train Epoch:4 [batch_index:0]	Loss1:0.048157	Loss2:0.091010	Discrepancy:0.020014
Train Epoch:4 [batch_index:100]	Loss1:0.085733	Loss2:0.112831	Discrepancy:0.013830
Train Epoch:4 [batch_index:200]	Loss1:0.061254	Loss2:0.064022	Discrepancy:0.019965
Train Epoch:4 [batch_index:300]	Loss1:0.086718	Loss2:0.100769	Discrepancy:0.014408
Train Epoch:4 [batch_index:400]	Loss1:0.070389	Loss2:0.075701	Discrepancy:0.017911
Train Epoch:5 [batch_index:0]	Loss1:0.122153	Loss2:0.074673	Discrepancy:0.018114
Train Epoch:5 [batch_index:100]	Loss1:0.084111	Loss2:0.095339	Discrepancy:0.013003
Train Epoch:5 [batch_index:200]	Loss1:0.091887	Loss2:0.074301	Discrepancy:0.014301
Train Epoch:5 [batch_index:300]	Loss1:0.079657	Loss2:0.131385	Discrepancy:0.015295
Train Epoch:5 [batch_index:400]	Loss1:0.090297	Loss2:0.043649	Discrepancy:0.016572
Train Epoch:6 [batch_index:0]	Loss1:0.050050	Loss2:0.049397	Discrepancy:0.017484
Train Epoch:6 [batch_index:100]	Loss1:0.068242	Loss2:0.084085	Discrepancy:0.017827
Train Epoch:6 [batch_index:200]	Loss1:0.172157	Loss2:0.124960	Discrepancy:0.010567
Train Epoch:6 [batch_index:300]	Loss1:0.112330	Loss2:0.092017	Discrepancy:0.011329
Train Epoch:6 [batch_index:400]	Loss1:0.138453	Loss2:0.067324	Discrepancy:0.013697
Train Epoch:7 [batch_index:0]	Loss1:0.122672	Loss2:0.055416	Discrepancy:0.012789
Train Epoch:7 [batch_index:100]	Loss1:0.132612	Loss2:0.108204	Discrepancy:0.013635
Train Epoch:7 [batch_index:200]	Loss1:0.088230	Loss2:0.063482	Discrepancy:0.012877
Train Epoch:7 [batch_index:300]	Loss1:0.098450	Loss2:0.071189	Discrepancy:0.009705
Train Epoch:7 [batch_index:400]	Loss1:0.062520	Loss2:0.094584	Discrepancy:0.007844
Train Epoch:8 [batch_index:0]	Loss1:0.134544	Loss2:0.049623	Discrepancy:0.015151
Train Epoch:8 [batch_index:100]	Loss1:0.040192	Loss2:0.038955	Discrepancy:0.013827
Train Epoch:8 [batch_index:200]	Loss1:0.084843	Loss2:0.137270	Discrepancy:0.011892
Train Epoch:8 [batch_index:300]	Loss1:0.063834	Loss2:0.063788	Discrepancy:0.018595
Train Epoch:8 [batch_index:400]	Loss1:0.118218	Loss2:0.084548	Discrepancy:0.009220
Train Epoch:9 [batch_index:0]	Loss1:0.039849	Loss2:0.046866	Discrepancy:0.011712
Train Epoch:9 [batch_index:100]	Loss1:0.082937	Loss2:0.118851	Discrepancy:0.011117
Train Epoch:9 [batch_index:200]	Loss1:0.028532	Loss2:0.037489	Discrepancy:0.013085
Train Epoch:9 [batch_index:300]	Loss1:0.066830	Loss2:0.086731	Discrepancy:0.010305
Train Epoch:9 [batch_index:400]	Loss1:0.092003	Loss2:0.078646	Discrepancy:0.007690
Train Epoch:10 [batch_index:0]	Loss1:0.057256	Loss2:0.038618	Discrepancy:0.011854
Train Epoch:10 [batch_index:100]	Loss1:0.039290	Loss2:0.029158	Discrepancy:0.008113
Train Epoch:10 [batch_index:200]	Loss1:0.034064	Loss2:0.059560	Discrepancy:0.008314
Train Epoch:10 [batch_index:300]	Loss1:0.050398	Loss2:0.090643	Discrepancy:0.009790
Train Epoch:10 [batch_index:400]	Loss1:0.034653	Loss2:0.078438	Discrepancy:0.012229
Train Epoch:11 [batch_index:0]	Loss1:0.091633	Loss2:0.136272	Discrepancy:0.009489
Train Epoch:11 [batch_index:100]	Loss1:0.033069	Loss2:0.018826	Discrepancy:0.014657
Train Epoch:11 [batch_index:200]	Loss1:0.032370	Loss2:0.020424	Discrepancy:0.011565
Train Epoch:11 [batch_index:300]	Loss1:0.016435	Loss2:0.090363	Discrepancy:0.011517
Train Epoch:11 [batch_index:400]	Loss1:0.054601	Loss2:0.029723	Discrepancy:0.015621
Train Epoch:12 [batch_index:0]	Loss1:0.034862	Loss2:0.035184	Discrepancy:0.014075
Train Epoch:12 [batch_index:100]	Loss1:0.047578	Loss2:0.071280	Discrepancy:0.013478
Train Epoch:12 [batch_index:200]	Loss1:0.074005	Loss2:0.048445	Discrepancy:0.012923
Train Epoch:12 [batch_index:300]	Loss1:0.074865	Loss2:0.113908	Discrepancy:0.013163
Train Epoch:12 [batch_index:400]	Loss1:0.143354	Loss2:0.022017	Discrepancy:0.010236
Train Epoch:13 [batch_index:0]	Loss1:0.073614	Loss2:0.027974	Discrepancy:0.008734
Train Epoch:13 [batch_index:100]	Loss1:0.054104	Loss2:0.036444	Discrepancy:0.011186
Train Epoch:13 [batch_index:200]	Loss1:0.055322	Loss2:0.088776	Discrepancy:0.012145
