Namespace(all_use=False, backbone='default', batch_interval=10, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=False, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='mnist', source_loader='mcd', supplementary_info='solver_fixed.py, --one_step=False', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=0.1, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0]	Loss1:2.370433	Loss2:2.374355	Discrepancy:0.055470
Train Epoch:0 [batch_index:10]	Loss1:2.185105	Loss2:2.165264	Discrepancy:0.053504
Train Epoch:1 [batch_index:0]	Loss1:2.009480	Loss2:2.021791	Discrepancy:0.054011
Train Epoch:1 [batch_index:10]	Loss1:1.979553	Loss2:1.858575	Discrepancy:0.054207
Train Epoch:2 [batch_index:0]	Loss1:1.798948	Loss2:1.853602	Discrepancy:0.054775
Train Epoch:2 [batch_index:10]	Loss1:1.687103	Loss2:1.624932	Discrepancy:0.055391
Train Epoch:3 [batch_index:0]	Loss1:1.603082	Loss2:1.562944	Discrepancy:0.057115
Train Epoch:3 [batch_index:10]	Loss1:1.587456	Loss2:1.438687	Discrepancy:0.057518
Train Epoch:4 [batch_index:0]	Loss1:1.370347	Loss2:1.336944	Discrepancy:0.060507
Train Epoch:4 [batch_index:10]	Loss1:1.365349	Loss2:1.330108	Discrepancy:0.061486
Train Epoch:5 [batch_index:0]	Loss1:1.256941	Loss2:1.171604	Discrepancy:0.058020
Train Epoch:5 [batch_index:10]	Loss1:1.221988	Loss2:1.224901	Discrepancy:0.059425
Train Epoch:6 [batch_index:0]	Loss1:1.165223	Loss2:1.043827	Discrepancy:0.061980
Train Epoch:6 [batch_index:10]	Loss1:1.075558	Loss2:0.928007	Discrepancy:0.063636
Train Epoch:7 [batch_index:0]	Loss1:0.916030	Loss2:0.952131	Discrepancy:0.067362
Train Epoch:7 [batch_index:10]	Loss1:0.939867	Loss2:0.933015	Discrepancy:0.067023
Train Epoch:8 [batch_index:0]	Loss1:0.864967	Loss2:0.866574	Discrepancy:0.063602
Train Epoch:8 [batch_index:10]	Loss1:0.827163	Loss2:0.747704	Discrepancy:0.064671
Train Epoch:9 [batch_index:0]	Loss1:0.912071	Loss2:0.766705	Discrepancy:0.069323
Train Epoch:9 [batch_index:10]	Loss1:0.840594	Loss2:0.792844	Discrepancy:0.066023
Train Epoch:10 [batch_index:0]	Loss1:0.735349	Loss2:0.659974	Discrepancy:0.063536
Train Epoch:10 [batch_index:10]	Loss1:0.708263	Loss2:0.693493	Discrepancy:0.061919
Train Epoch:11 [batch_index:0]	Loss1:0.721182	Loss2:0.807184	Discrepancy:0.065375
Train Epoch:11 [batch_index:10]	Loss1:0.630884	Loss2:0.640052	Discrepancy:0.060904
Train Epoch:12 [batch_index:0]	Loss1:0.707731	Loss2:0.574730	Discrepancy:0.061858
Train Epoch:12 [batch_index:10]	Loss1:0.507453	Loss2:0.549535	Discrepancy:0.054696
Train Epoch:13 [batch_index:0]	Loss1:0.595913	Loss2:0.572729	Discrepancy:0.064626
Train Epoch:13 [batch_index:10]	Loss1:0.566776	Loss2:0.509256	Discrepancy:0.062845
Train Epoch:14 [batch_index:0]	Loss1:0.534601	Loss2:0.463880	Discrepancy:0.063651
Train Epoch:14 [batch_index:10]	Loss1:0.551210	Loss2:0.527136	Discrepancy:0.060251
Train Epoch:15 [batch_index:0]	Loss1:0.469831	Loss2:0.480677	Discrepancy:0.059506
Train Epoch:15 [batch_index:10]	Loss1:0.438074	Loss2:0.394456	Discrepancy:0.055951
Train Epoch:16 [batch_index:0]	Loss1:0.335390	Loss2:0.314906	Discrepancy:0.060704
Train Epoch:16 [batch_index:10]	Loss1:0.464659	Loss2:0.527055	Discrepancy:0.056419
Train Epoch:17 [batch_index:0]	Loss1:0.410696	Loss2:0.382213	Discrepancy:0.056381
Train Epoch:17 [batch_index:10]	Loss1:0.398847	Loss2:0.442020	Discrepancy:0.061830
Train Epoch:18 [batch_index:0]	Loss1:0.343105	Loss2:0.368941	Discrepancy:0.054038
Train Epoch:18 [batch_index:10]	Loss1:0.382155	Loss2:0.357413	Discrepancy:0.057878
Train Epoch:19 [batch_index:0]	Loss1:0.423279	Loss2:0.342062	Discrepancy:0.055290
Train Epoch:19 [batch_index:10]	Loss1:0.316331	Loss2:0.330098	Discrepancy:0.052260
Train Epoch:20 [batch_index:0]	Loss1:0.280459	Loss2:0.251209	Discrepancy:0.053129
Train Epoch:20 [batch_index:10]	Loss1:0.377180	Loss2:0.343985	Discrepancy:0.058156
Train Epoch:21 [batch_index:0]	Loss1:0.304296	Loss2:0.277123	Discrepancy:0.052245
Train Epoch:21 [batch_index:10]	Loss1:0.418963	Loss2:0.353884	Discrepancy:0.048617
Train Epoch:22 [batch_index:0]	Loss1:0.280401	Loss2:0.286051	Discrepancy:0.052448
Train Epoch:22 [batch_index:10]	Loss1:0.354922	Loss2:0.344285	Discrepancy:0.050335
Train Epoch:23 [batch_index:0]	Loss1:0.273057	Loss2:0.224095	Discrepancy:0.042406
Train Epoch:23 [batch_index:10]	Loss1:0.333867	Loss2:0.353395	Discrepancy:0.043021
Train Epoch:24 [batch_index:0]	Loss1:0.266862	Loss2:0.230163	Discrepancy:0.048065
Train Epoch:24 [batch_index:10]	Loss1:0.250259	Loss2:0.271608	Discrepancy:0.043372
Train Epoch:25 [batch_index:0]	Loss1:0.219754	Loss2:0.308582	Discrepancy:0.051952
Train Epoch:25 [batch_index:10]	Loss1:0.271580	Loss2:0.183858	Discrepancy:0.047446
Train Epoch:26 [batch_index:0]	Loss1:0.268641	Loss2:0.260323	Discrepancy:0.048163
Train Epoch:26 [batch_index:10]	Loss1:0.263843	Loss2:0.177773	Discrepancy:0.045456
Train Epoch:27 [batch_index:0]	Loss1:0.234376	Loss2:0.174573	Discrepancy:0.040966
Train Epoch:27 [batch_index:10]	Loss1:0.185610	Loss2:0.175706	Discrepancy:0.043723
Train Epoch:28 [batch_index:0]	Loss1:0.234671	Loss2:0.211276	Discrepancy:0.038176
Train Epoch:28 [batch_index:10]	Loss1:0.265539	Loss2:0.265657	Discrepancy:0.042926
Train Epoch:29 [batch_index:0]	Loss1:0.204787	Loss2:0.217401	Discrepancy:0.037099
Train Epoch:29 [batch_index:10]	Loss1:0.190068	Loss2:0.232789	Discrepancy:0.041756
Train Epoch:30 [batch_index:0]	Loss1:0.170455	Loss2:0.150440	Discrepancy:0.041048
Train Epoch:30 [batch_index:10]	Loss1:0.191233	Loss2:0.145033	Discrepancy:0.039645
Train Epoch:31 [batch_index:0]	Loss1:0.176566	Loss2:0.167726	Discrepancy:0.044239
Train Epoch:31 [batch_index:10]	Loss1:0.163055	Loss2:0.163134	Discrepancy:0.036603
Train Epoch:32 [batch_index:0]	Loss1:0.164776	Loss2:0.165820	Discrepancy:0.048790
Train Epoch:32 [batch_index:10]	Loss1:0.223793	Loss2:0.165716	Discrepancy:0.041896
Train Epoch:33 [batch_index:0]	Loss1:0.202881	Loss2:0.170789	Discrepancy:0.032658
Train Epoch:33 [batch_index:10]	Loss1:0.275815	Loss2:0.258110	Discrepancy:0.035993
Train Epoch:34 [batch_index:0]	Loss1:0.174547	Loss2:0.129814	Discrepancy:0.039274
Train Epoch:34 [batch_index:10]	Loss1:0.147817	Loss2:0.129089	Discrepancy:0.037615
Train Epoch:35 [batch_index:0]	Loss1:0.217666	Loss2:0.149026	Discrepancy:0.034205
Train Epoch:35 [batch_index:10]	Loss1:0.200997	Loss2:0.123167	Discrepancy:0.032840
Train Epoch:36 [batch_index:0]	Loss1:0.164037	Loss2:0.135222	Discrepancy:0.037047
Train Epoch:36 [batch_index:10]	Loss1:0.110494	Loss2:0.165877	Discrepancy:0.038258
Train Epoch:37 [batch_index:0]	Loss1:0.151665	Loss2:0.150555	Discrepancy:0.041147
Train Epoch:37 [batch_index:10]	Loss1:0.154030	Loss2:0.187513	Discrepancy:0.035355
Train Epoch:38 [batch_index:0]	Loss1:0.157455	Loss2:0.095979	Discrepancy:0.036544
Train Epoch:38 [batch_index:10]	Loss1:0.171573	Loss2:0.119341	Discrepancy:0.036551
Train Epoch:39 [batch_index:0]	Loss1:0.169912	Loss2:0.108551	Discrepancy:0.034800
Train Epoch:39 [batch_index:10]	Loss1:0.124283	Loss2:0.102782	Discrepancy:0.042748
Train Epoch:40 [batch_index:0]	Loss1:0.116597	Loss2:0.129380	Discrepancy:0.026069
Train Epoch:40 [batch_index:10]	Loss1:0.129658	Loss2:0.122812	Discrepancy:0.034640
Train Epoch:41 [batch_index:0]	Loss1:0.116973	Loss2:0.093133	Discrepancy:0.031270
Train Epoch:41 [batch_index:10]	Loss1:0.113601	Loss2:0.120287	Discrepancy:0.032982
Train Epoch:42 [batch_index:0]	Loss1:0.113163	Loss2:0.120537	Discrepancy:0.043985
Train Epoch:42 [batch_index:10]	Loss1:0.122860	Loss2:0.147313	Discrepancy:0.034713
Train Epoch:43 [batch_index:0]	Loss1:0.078979	Loss2:0.065126	Discrepancy:0.037790
Train Epoch:43 [batch_index:10]	Loss1:0.086102	Loss2:0.103273	Discrepancy:0.032997
Train Epoch:44 [batch_index:0]	Loss1:0.107474	Loss2:0.105370	Discrepancy:0.038399
Train Epoch:44 [batch_index:10]	Loss1:0.136815	Loss2:0.074321	Discrepancy:0.033101
Train Epoch:45 [batch_index:0]	Loss1:0.079756	Loss2:0.086622	Discrepancy:0.030060
Train Epoch:45 [batch_index:10]	Loss1:0.110365	Loss2:0.119864	Discrepancy:0.027229
Train Epoch:46 [batch_index:0]	Loss1:0.078553	Loss2:0.091993	Discrepancy:0.036287
Train Epoch:46 [batch_index:10]	Loss1:0.103737	Loss2:0.099557	Discrepancy:0.034031
Train Epoch:47 [batch_index:0]	Loss1:0.099079	Loss2:0.090741	Discrepancy:0.031806
Train Epoch:47 [batch_index:10]	Loss1:0.089543	Loss2:0.097832	Discrepancy:0.038847
Train Epoch:48 [batch_index:0]	Loss1:0.122735	Loss2:0.085355	Discrepancy:0.034692
Train Epoch:48 [batch_index:10]	Loss1:0.075536	Loss2:0.071177	Discrepancy:0.035282
Train Epoch:49 [batch_index:0]	Loss1:0.096721	Loss2:0.086340	Discrepancy:0.031536
Train Epoch:49 [batch_index:10]	Loss1:0.055078	Loss2:0.066422	Discrepancy:0.028172
Train Epoch:50 [batch_index:0]	Loss1:0.091122	Loss2:0.066430	Discrepancy:0.027138
Train Epoch:50 [batch_index:10]	Loss1:0.065053	Loss2:0.092819	Discrepancy:0.026069
Train Epoch:51 [batch_index:0]	Loss1:0.084517	Loss2:0.087315	Discrepancy:0.022521
