Namespace(all_use=False, backbone='default', batch_interval=10, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=False, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='usps', source_loader='mcd', supplementary_info='solver_fixed.py, --one_step=False', target='mnist', target_loader='mcd', use_abs_diff=False, weight_consistency=0.1, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0]	Loss1:2.474734	Loss2:2.370584	Discrepancy:0.054068
Train Epoch:0 [batch_index:10]	Loss1:2.000627	Loss2:2.051692	Discrepancy:0.054389
Train Epoch:1 [batch_index:0]	Loss1:1.942728	Loss2:1.855808	Discrepancy:0.055087
Train Epoch:1 [batch_index:10]	Loss1:1.665656	Loss2:1.600395	Discrepancy:0.054318
Train Epoch:2 [batch_index:0]	Loss1:1.555184	Loss2:1.633193	Discrepancy:0.054686
Train Epoch:2 [batch_index:10]	Loss1:1.585560	Loss2:1.555123	Discrepancy:0.054550
Train Epoch:3 [batch_index:0]	Loss1:1.449433	Loss2:1.405164	Discrepancy:0.057316
Train Epoch:3 [batch_index:10]	Loss1:1.411590	Loss2:1.281182	Discrepancy:0.055630
Train Epoch:4 [batch_index:0]	Loss1:1.365063	Loss2:1.365118	Discrepancy:0.057982
Train Epoch:4 [batch_index:10]	Loss1:1.208240	Loss2:1.242308	Discrepancy:0.061414
Train Epoch:5 [batch_index:0]	Loss1:1.189704	Loss2:1.163799	Discrepancy:0.061507
Train Epoch:5 [batch_index:10]	Loss1:1.012677	Loss2:1.007870	Discrepancy:0.059409
Train Epoch:6 [batch_index:0]	Loss1:1.028467	Loss2:0.962265	Discrepancy:0.061585
Train Epoch:6 [batch_index:10]	Loss1:0.912817	Loss2:0.929248	Discrepancy:0.066872
Train Epoch:7 [batch_index:0]	Loss1:1.024053	Loss2:0.944607	Discrepancy:0.061239
Train Epoch:7 [batch_index:10]	Loss1:0.986282	Loss2:0.979306	Discrepancy:0.061212
Train Epoch:8 [batch_index:0]	Loss1:0.774625	Loss2:0.773737	Discrepancy:0.068466
Train Epoch:8 [batch_index:10]	Loss1:0.797411	Loss2:0.837105	Discrepancy:0.063682
Train Epoch:9 [batch_index:0]	Loss1:0.890653	Loss2:0.776762	Discrepancy:0.068623
Train Epoch:9 [batch_index:10]	Loss1:0.772381	Loss2:0.703112	Discrepancy:0.067675
Train Epoch:10 [batch_index:0]	Loss1:0.778114	Loss2:0.775079	Discrepancy:0.072227
Train Epoch:10 [batch_index:10]	Loss1:0.691207	Loss2:0.690106	Discrepancy:0.064151
Train Epoch:11 [batch_index:0]	Loss1:0.713993	Loss2:0.633984	Discrepancy:0.068911
Train Epoch:11 [batch_index:10]	Loss1:0.600724	Loss2:0.573205	Discrepancy:0.065313
Train Epoch:12 [batch_index:0]	Loss1:0.665376	Loss2:0.688737	Discrepancy:0.069651
Train Epoch:12 [batch_index:10]	Loss1:0.534129	Loss2:0.542014	Discrepancy:0.069485
Train Epoch:13 [batch_index:0]	Loss1:0.621676	Loss2:0.570989	Discrepancy:0.066542
Train Epoch:13 [batch_index:10]	Loss1:0.628771	Loss2:0.544097	Discrepancy:0.069227
Train Epoch:14 [batch_index:0]	Loss1:0.556859	Loss2:0.537099	Discrepancy:0.070833
Train Epoch:14 [batch_index:10]	Loss1:0.443183	Loss2:0.417702	Discrepancy:0.066459
Train Epoch:15 [batch_index:0]	Loss1:0.449323	Loss2:0.448837	Discrepancy:0.070246
Train Epoch:15 [batch_index:10]	Loss1:0.462311	Loss2:0.463372	Discrepancy:0.069031
Train Epoch:16 [batch_index:0]	Loss1:0.463775	Loss2:0.445851	Discrepancy:0.067261
Train Epoch:16 [batch_index:10]	Loss1:0.433449	Loss2:0.479862	Discrepancy:0.067862
Train Epoch:17 [batch_index:0]	Loss1:0.417135	Loss2:0.382277	Discrepancy:0.071055
Train Epoch:17 [batch_index:10]	Loss1:0.444608	Loss2:0.525479	Discrepancy:0.066572
Train Epoch:18 [batch_index:0]	Loss1:0.384203	Loss2:0.376287	Discrepancy:0.071038
Train Epoch:18 [batch_index:10]	Loss1:0.452533	Loss2:0.458822	Discrepancy:0.068892
Train Epoch:19 [batch_index:0]	Loss1:0.396181	Loss2:0.301971	Discrepancy:0.068326
Train Epoch:19 [batch_index:10]	Loss1:0.421471	Loss2:0.395844	Discrepancy:0.066443
Train Epoch:20 [batch_index:0]	Loss1:0.366141	Loss2:0.344047	Discrepancy:0.072092
Train Epoch:20 [batch_index:10]	Loss1:0.346421	Loss2:0.288669	Discrepancy:0.064384
Train Epoch:21 [batch_index:0]	Loss1:0.375508	Loss2:0.351049	Discrepancy:0.070484
Train Epoch:21 [batch_index:10]	Loss1:0.289272	Loss2:0.408735	Discrepancy:0.068479
