Namespace(all_use=True, backbone='resnet18', batch_interval=10, batch_size=36, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\office_31\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=256, lr=0.001, max_epoch=160, mixup_beta=0.5, no_cuda=False, num_classes=31, num_k=4, one_step=False, optimizer='sgd', rampup_length=60, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='D', source_loader='normal', supplementary_info='solver_fixed.py, --backbone=resnet18, use_bottleneck=True', target='A', target_loader='normal', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0/78]	Loss1:3.354255	Loss2:3.384393	Discrepancy:0.008528	Resample Pool Num:35
Train Epoch:0 [batch_index:10/78]	Loss1:1.783734	Loss2:1.846090	Discrepancy:0.007668	Resample Pool Num:236
Train Epoch:0 [batch_index:20/78]	Loss1:0.672151	Loss2:0.748673	Discrepancy:0.008342	Resample Pool Num:340
Train Epoch:0 [batch_index:30/78]	Loss1:0.215204	Loss2:0.229352	Discrepancy:0.009146	Resample Pool Num:414
Train Epoch:0 [batch_index:40/78]	Loss1:0.112452	Loss2:0.122088	Discrepancy:0.008969	Resample Pool Num:489
Train Epoch:0 [batch_index:50/78]	Loss1:0.104724	Loss2:0.114689	Discrepancy:0.008834	Resample Pool Num:542
Train Epoch:0 [batch_index:60/78]	Loss1:0.101512	Loss2:0.102905	Discrepancy:0.008586	Resample Pool Num:607
Train Epoch:0 [batch_index:70/78]	Loss1:0.054759	Loss2:0.055901	Discrepancy:0.009525	Resample Pool Num:662
Train Epoch:1 [batch_index:0/78]	Loss1:0.035204	Loss2:0.034161	Discrepancy:0.008332	Resample Pool Num:707
Train Epoch:1 [batch_index:10/78]	Loss1:0.031614	Loss2:0.036400	Discrepancy:0.008039	Resample Pool Num:659
Train Epoch:1 [batch_index:20/78]	Loss1:0.028893	Loss2:0.027807	Discrepancy:0.007705	Resample Pool Num:633
Train Epoch:1 [batch_index:30/78]	Loss1:0.018871	Loss2:0.017923	Discrepancy:0.007315	Resample Pool Num:584
Train Epoch:1 [batch_index:40/78]	Loss1:0.024293	Loss2:0.026090	Discrepancy:0.008164	Resample Pool Num:545
Train Epoch:1 [batch_index:50/78]	Loss1:0.016341	Loss2:0.015927	Discrepancy:0.008558	Resample Pool Num:517
Train Epoch:1 [batch_index:60/78]	Loss1:0.028251	Loss2:0.028304	Discrepancy:0.007086	Resample Pool Num:489
Train Epoch:1 [batch_index:70/78]	Loss1:0.015256	Loss2:0.015943	Discrepancy:0.008065	Resample Pool Num:444
Train Epoch:2 [batch_index:0/78]	Loss1:0.014241	Loss2:0.013940	Discrepancy:0.006503	Resample Pool Num:413
Train Epoch:2 [batch_index:10/78]	Loss1:0.027791	Loss2:0.030923	Discrepancy:0.006260	Resample Pool Num:408
Train Epoch:2 [batch_index:20/78]	Loss1:0.020708	Loss2:0.018978	Discrepancy:0.008866	Resample Pool Num:396
Train Epoch:2 [batch_index:30/78]	Loss1:0.017338	Loss2:0.016913	Discrepancy:0.006270	Resample Pool Num:379
Train Epoch:2 [batch_index:40/78]	Loss1:0.015657	Loss2:0.015400	Discrepancy:0.007111	Resample Pool Num:379
Train Epoch:2 [batch_index:50/78]	Loss1:0.010124	Loss2:0.009455	Discrepancy:0.006426	Resample Pool Num:364
Train Epoch:2 [batch_index:60/78]	Loss1:0.013381	Loss2:0.013841	Discrepancy:0.005938	Resample Pool Num:345
Train Epoch:2 [batch_index:70/78]	Loss1:0.016680	Loss2:0.015855	Discrepancy:0.006792	Resample Pool Num:325
Train Epoch:3 [batch_index:0/78]	Loss1:0.018423	Loss2:0.021758	Discrepancy:0.005652	Resample Pool Num:318
Train Epoch:3 [batch_index:10/78]	Loss1:0.011395	Loss2:0.010492	Discrepancy:0.005560	Resample Pool Num:323
Train Epoch:3 [batch_index:20/78]	Loss1:0.010432	Loss2:0.010611	Discrepancy:0.006659	Resample Pool Num:321
Train Epoch:3 [batch_index:30/78]	Loss1:0.012944	Loss2:0.013963	Discrepancy:0.007345	Resample Pool Num:316
Train Epoch:3 [batch_index:40/78]	Loss1:0.009065	Loss2:0.009621	Discrepancy:0.007375	Resample Pool Num:314
Train Epoch:3 [batch_index:50/78]	Loss1:0.010565	Loss2:0.011698	Discrepancy:0.005357	Resample Pool Num:305
Train Epoch:3 [batch_index:60/78]	Loss1:0.014810	Loss2:0.014604	Discrepancy:0.007100	Resample Pool Num:297
Train Epoch:3 [batch_index:70/78]	Loss1:0.013825	Loss2:0.014719	Discrepancy:0.007020	Resample Pool Num:302
Train Epoch:4 [batch_index:0/78]	Loss1:0.008272	Loss2:0.007734	Discrepancy:0.006996	Resample Pool Num:300
Train Epoch:4 [batch_index:10/78]	Loss1:0.008459	Loss2:0.009346	Discrepancy:0.005447	Resample Pool Num:290
Train Epoch:4 [batch_index:20/78]	Loss1:0.006212	Loss2:0.006282	Discrepancy:0.005114	Resample Pool Num:293
Train Epoch:4 [batch_index:30/78]	Loss1:0.009559	Loss2:0.008129	Discrepancy:0.005419	Resample Pool Num:281
Train Epoch:4 [batch_index:40/78]	Loss1:0.009301	Loss2:0.010186	Discrepancy:0.004861	Resample Pool Num:275
Train Epoch:4 [batch_index:50/78]	Loss1:0.011133	Loss2:0.010256	Discrepancy:0.006439	Resample Pool Num:274
Train Epoch:4 [batch_index:60/78]	Loss1:0.014631	Loss2:0.015496	Discrepancy:0.006902	Resample Pool Num:272
Train Epoch:4 [batch_index:70/78]	Loss1:0.006890	Loss2:0.007278	Discrepancy:0.005777	Resample Pool Num:265
Train Epoch:5 [batch_index:0/78]	Loss1:0.007724	Loss2:0.007083	Discrepancy:0.005468	Resample Pool Num:264
Train Epoch:5 [batch_index:10/78]	Loss1:0.005331	Loss2:0.005182	Discrepancy:0.005794	Resample Pool Num:271
Train Epoch:5 [batch_index:20/78]	Loss1:0.008231	Loss2:0.007772	Discrepancy:0.005877	Resample Pool Num:275
Train Epoch:5 [batch_index:30/78]	Loss1:0.007494	Loss2:0.008003	Discrepancy:0.005819	Resample Pool Num:277
Train Epoch:5 [batch_index:40/78]	Loss1:0.006428	Loss2:0.006321	Discrepancy:0.006160	Resample Pool Num:266
Train Epoch:5 [batch_index:50/78]	Loss1:0.009825	Loss2:0.009678	Discrepancy:0.005887	Resample Pool Num:261
Train Epoch:5 [batch_index:60/78]	Loss1:0.005055	Loss2:0.005081	Discrepancy:0.006030	Resample Pool Num:269
Train Epoch:5 [batch_index:70/78]	Loss1:0.008262	Loss2:0.008962	Discrepancy:0.005472	Resample Pool Num:266
Train Epoch:6 [batch_index:0/78]	Loss1:0.011684	Loss2:0.011542	Discrepancy:0.004557	Resample Pool Num:254
Train Epoch:6 [batch_index:10/78]	Loss1:0.008442	Loss2:0.009560	Discrepancy:0.005541	Resample Pool Num:260
Train Epoch:6 [batch_index:20/78]	Loss1:0.007788	Loss2:0.007928	Discrepancy:0.005838	Resample Pool Num:246
Train Epoch:6 [batch_index:30/78]	Loss1:0.005810	Loss2:0.005400	Discrepancy:0.005026	Resample Pool Num:237
Train Epoch:6 [batch_index:40/78]	Loss1:0.006926	Loss2:0.006710	Discrepancy:0.005939	Resample Pool Num:237
Train Epoch:6 [batch_index:50/78]	Loss1:0.005055	Loss2:0.006034	Discrepancy:0.004871	Resample Pool Num:237
