Namespace(all_use=True, backbone='resnet18', batch_interval=10, batch_size=36, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\office_31\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=256, lr=0.001, max_epoch=160, mixup_beta=0.5, no_cuda=False, num_classes=31, num_k=4, one_step=False, optimizer='sgd', rampup_length=60, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='W', source_loader='normal', supplementary_info='solver_fixed.py, --backbone=resnet18, use_bottleneck=True', target='A', target_loader='normal', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0/78]	Loss1:3.283711	Loss2:3.304323	Discrepancy:0.008744	Resample Pool Num:34
Train Epoch:0 [batch_index:10/78]	Loss1:1.788578	Loss2:1.761765	Discrepancy:0.008050	Resample Pool Num:220
Train Epoch:0 [batch_index:20/78]	Loss1:0.898074	Loss2:0.842608	Discrepancy:0.008554	Resample Pool Num:296
Train Epoch:0 [batch_index:30/78]	Loss1:0.386186	Loss2:0.373870	Discrepancy:0.008012	Resample Pool Num:366
Train Epoch:0 [batch_index:40/78]	Loss1:0.190728	Loss2:0.202558	Discrepancy:0.010020	Resample Pool Num:434
Train Epoch:0 [batch_index:50/78]	Loss1:0.097326	Loss2:0.104791	Discrepancy:0.009506	Resample Pool Num:492
Train Epoch:0 [batch_index:60/78]	Loss1:0.071586	Loss2:0.076417	Discrepancy:0.007254	Resample Pool Num:551
Train Epoch:0 [batch_index:70/78]	Loss1:0.056407	Loss2:0.053677	Discrepancy:0.007030	Resample Pool Num:616
Train Epoch:1 [batch_index:0/78]	Loss1:0.041416	Loss2:0.038483	Discrepancy:0.006928	Resample Pool Num:652
Train Epoch:1 [batch_index:10/78]	Loss1:0.069731	Loss2:0.070019	Discrepancy:0.008034	Resample Pool Num:614
Train Epoch:1 [batch_index:20/78]	Loss1:0.065470	Loss2:0.066128	Discrepancy:0.008726	Resample Pool Num:575
Train Epoch:1 [batch_index:30/78]	Loss1:0.041171	Loss2:0.038048	Discrepancy:0.006555	Resample Pool Num:533
Train Epoch:1 [batch_index:40/78]	Loss1:0.028404	Loss2:0.029935	Discrepancy:0.008130	Resample Pool Num:496
Train Epoch:1 [batch_index:50/78]	Loss1:0.021575	Loss2:0.021098	Discrepancy:0.007288	Resample Pool Num:462
Train Epoch:1 [batch_index:60/78]	Loss1:0.016384	Loss2:0.018341	Discrepancy:0.008178	Resample Pool Num:443
Train Epoch:1 [batch_index:70/78]	Loss1:0.026285	Loss2:0.024868	Discrepancy:0.007333	Resample Pool Num:402
Train Epoch:2 [batch_index:0/78]	Loss1:0.022325	Loss2:0.021649	Discrepancy:0.005568	Resample Pool Num:378
Train Epoch:2 [batch_index:10/78]	Loss1:0.030085	Loss2:0.031369	Discrepancy:0.007845	Resample Pool Num:371
Train Epoch:2 [batch_index:20/78]	Loss1:0.014105	Loss2:0.014600	Discrepancy:0.007965	Resample Pool Num:367
Train Epoch:2 [batch_index:30/78]	Loss1:0.017248	Loss2:0.019436	Discrepancy:0.005864	Resample Pool Num:357
Train Epoch:2 [batch_index:40/78]	Loss1:0.017959	Loss2:0.018301	Discrepancy:0.007757	Resample Pool Num:351
Train Epoch:2 [batch_index:50/78]	Loss1:0.011876	Loss2:0.011333	Discrepancy:0.006248	Resample Pool Num:324
Train Epoch:2 [batch_index:60/78]	Loss1:0.012454	Loss2:0.012187	Discrepancy:0.005679	Resample Pool Num:321
Train Epoch:2 [batch_index:70/78]	Loss1:0.018742	Loss2:0.015716	Discrepancy:0.005770	Resample Pool Num:329
Train Epoch:3 [batch_index:0/78]	Loss1:0.008257	Loss2:0.008960	Discrepancy:0.005675	Resample Pool Num:322
Train Epoch:3 [batch_index:10/78]	Loss1:0.014188	Loss2:0.014709	Discrepancy:0.004958	Resample Pool Num:328
Train Epoch:3 [batch_index:20/78]	Loss1:0.016442	Loss2:0.017047	Discrepancy:0.007141	Resample Pool Num:307
Train Epoch:3 [batch_index:30/78]	Loss1:0.013262	Loss2:0.012539	Discrepancy:0.006760	Resample Pool Num:313
Train Epoch:3 [batch_index:40/78]	Loss1:0.016229	Loss2:0.015850	Discrepancy:0.006053	Resample Pool Num:308
Train Epoch:3 [batch_index:50/78]	Loss1:0.012115	Loss2:0.012009	Discrepancy:0.006273	Resample Pool Num:298
Train Epoch:3 [batch_index:60/78]	Loss1:0.007338	Loss2:0.007599	Discrepancy:0.007878	Resample Pool Num:300
Train Epoch:3 [batch_index:70/78]	Loss1:0.010081	Loss2:0.010686	Discrepancy:0.005587	Resample Pool Num:308
Train Epoch:4 [batch_index:0/78]	Loss1:0.016339	Loss2:0.015636	Discrepancy:0.006619	Resample Pool Num:313
Train Epoch:4 [batch_index:10/78]	Loss1:0.011637	Loss2:0.013894	Discrepancy:0.005052	Resample Pool Num:324
Train Epoch:4 [batch_index:20/78]	Loss1:0.010289	Loss2:0.008758	Discrepancy:0.005321	Resample Pool Num:310
Train Epoch:4 [batch_index:30/78]	Loss1:0.009302	Loss2:0.009915	Discrepancy:0.005723	Resample Pool Num:302
Train Epoch:4 [batch_index:40/78]	Loss1:0.009498	Loss2:0.008805	Discrepancy:0.005847	Resample Pool Num:289
Train Epoch:4 [batch_index:50/78]	Loss1:0.006181	Loss2:0.006681	Discrepancy:0.004412	Resample Pool Num:277
Train Epoch:4 [batch_index:60/78]	Loss1:0.008657	Loss2:0.010227	Discrepancy:0.005000	Resample Pool Num:276
Train Epoch:4 [batch_index:70/78]	Loss1:0.008143	Loss2:0.008019	Discrepancy:0.006125	Resample Pool Num:276
Train Epoch:5 [batch_index:0/78]	Loss1:0.007941	Loss2:0.008530	Discrepancy:0.004942	Resample Pool Num:263
Train Epoch:5 [batch_index:10/78]	Loss1:0.006989	Loss2:0.006853	Discrepancy:0.006001	Resample Pool Num:272
Train Epoch:5 [batch_index:20/78]	Loss1:0.007833	Loss2:0.007996	Discrepancy:0.006047	Resample Pool Num:277
Train Epoch:5 [batch_index:30/78]	Loss1:0.008122	Loss2:0.007005	Discrepancy:0.005295	Resample Pool Num:284
Train Epoch:5 [batch_index:40/78]	Loss1:0.006662	Loss2:0.007170	Discrepancy:0.005018	Resample Pool Num:273
Train Epoch:5 [batch_index:50/78]	Loss1:0.007673	Loss2:0.008891	Discrepancy:0.003632	Resample Pool Num:265
Train Epoch:5 [batch_index:60/78]	Loss1:0.007884	Loss2:0.009090	Discrepancy:0.006322	Resample Pool Num:267
Train Epoch:5 [batch_index:70/78]	Loss1:0.007757	Loss2:0.008022	Discrepancy:0.004777	Resample Pool Num:258
Train Epoch:6 [batch_index:0/78]	Loss1:0.011462	Loss2:0.010352	Discrepancy:0.005450	Resample Pool Num:247
Train Epoch:6 [batch_index:10/78]	Loss1:0.009530	Loss2:0.009439	Discrepancy:0.004058	Resample Pool Num:238
Train Epoch:6 [batch_index:20/78]	Loss1:0.007779	Loss2:0.007377	Discrepancy:0.004566	Resample Pool Num:226
Train Epoch:6 [batch_index:30/78]	Loss1:0.020045	Loss2:0.019848	Discrepancy:0.005927	Resample Pool Num:225
Train Epoch:6 [batch_index:40/78]	Loss1:0.009795	Loss2:0.009923	Discrepancy:0.004806	Resample Pool Num:236
Train Epoch:6 [batch_index:50/78]	Loss1:0.008161	Loss2:0.008055	Discrepancy:0.004905	Resample Pool Num:224
Train Epoch:6 [batch_index:60/78]	Loss1:0.005143	Loss2:0.005711	Discrepancy:0.005181	Resample Pool Num:219
Train Epoch:6 [batch_index:70/78]	Loss1:0.006620	Loss2:0.006643	Discrepancy:0.004830	Resample Pool Num:212
Train Epoch:7 [batch_index:0/78]	Loss1:0.023910	Loss2:0.021727	Discrepancy:0.005386	Resample Pool Num:226
Train Epoch:7 [batch_index:10/78]	Loss1:0.008071	Loss2:0.008908	Discrepancy:0.004490	Resample Pool Num:220
Train Epoch:7 [batch_index:20/78]	Loss1:0.011927	Loss2:0.014115	Discrepancy:0.004740	Resample Pool Num:222
Train Epoch:7 [batch_index:30/78]	Loss1:0.008029	Loss2:0.007660	Discrepancy:0.004823	Resample Pool Num:214
Train Epoch:7 [batch_index:40/78]	Loss1:0.008753	Loss2:0.008435	Discrepancy:0.005000	Resample Pool Num:219
Train Epoch:7 [batch_index:50/78]	Loss1:0.004615	Loss2:0.005245	Discrepancy:0.005344	Resample Pool Num:211
Train Epoch:7 [batch_index:60/78]	Loss1:0.005371	Loss2:0.005961	Discrepancy:0.004183	Resample Pool Num:222
Train Epoch:7 [batch_index:70/78]	Loss1:0.011833	Loss2:0.010721	Discrepancy:0.005131	Resample Pool Num:215
Train Epoch:8 [batch_index:0/78]	Loss1:0.009421	Loss2:0.008619	Discrepancy:0.004481	Resample Pool Num:217
Train Epoch:8 [batch_index:10/78]	Loss1:0.005436	Loss2:0.005285	Discrepancy:0.004282	Resample Pool Num:213
Train Epoch:8 [batch_index:20/78]	Loss1:0.010388	Loss2:0.009679	Discrepancy:0.004388	Resample Pool Num:206
Train Epoch:8 [batch_index:30/78]	Loss1:0.008935	Loss2:0.008661	Discrepancy:0.005328	Resample Pool Num:205
Train Epoch:8 [batch_index:40/78]	Loss1:0.009135	Loss2:0.009685	Discrepancy:0.005801	Resample Pool Num:217
Train Epoch:8 [batch_index:50/78]	Loss1:0.005614	Loss2:0.005880	Discrepancy:0.004881	Resample Pool Num:209
