Namespace(all_use=True, backbone='resnet18', batch_interval=10, batch_size=36, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\office_31\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=256, lr=0.001, max_epoch=160, mixup_beta=0.5, no_cuda=False, num_classes=31, num_k=4, one_step=False, optimizer='sgd', rampup_length=60, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='W', source_loader='normal', supplementary_info='solver_fixed.py, --backbone=resnet18, use_bottleneck=True', target='D', target_loader='normal', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0/22]	Loss1:3.356061	Loss2:3.291408	Discrepancy:0.009159	Resample Pool Num:36
Train Epoch:0 [batch_index:10/22]	Loss1:1.585977	Loss2:1.512568	Discrepancy:0.006879	Resample Pool Num:173
Train Epoch:0 [batch_index:20/22]	Loss1:0.992075	Loss2:0.883053	Discrepancy:0.006575	Resample Pool Num:97
Train Epoch:1 [batch_index:0/22]	Loss1:0.452255	Loss2:0.450016	Discrepancy:0.005573	Resample Pool Num:77
Train Epoch:1 [batch_index:10/22]	Loss1:0.452987	Loss2:0.409514	Discrepancy:0.004122	Resample Pool Num:35
Train Epoch:1 [batch_index:20/22]	Loss1:0.201037	Loss2:0.173926	Discrepancy:0.003327	Resample Pool Num:11
Train Epoch:2 [batch_index:0/22]	Loss1:0.146164	Loss2:0.135616	Discrepancy:0.003648	Resample Pool Num:9
Train Epoch:2 [batch_index:10/22]	Loss1:0.072903	Loss2:0.073581	Discrepancy:0.002682	Resample Pool Num:3
Train Epoch:2 [batch_index:20/22]	Loss1:0.072122	Loss2:0.074429	Discrepancy:0.002772	Resample Pool Num:5
Train Epoch:3 [batch_index:0/22]	Loss1:0.058336	Loss2:0.058906	Discrepancy:0.002669	Resample Pool Num:4
Train Epoch:3 [batch_index:10/22]	Loss1:0.042888	Loss2:0.042017	Discrepancy:0.002299	Resample Pool Num:0
Train Epoch:3 [batch_index:20/22]	Loss1:0.046596	Loss2:0.041622	Discrepancy:0.002363	Resample Pool Num:1
Train Epoch:4 [batch_index:0/22]	Loss1:0.037320	Loss2:0.036716	Discrepancy:0.002263	Resample Pool Num:0
Train Epoch:4 [batch_index:10/22]	Loss1:0.057908	Loss2:0.049937	Discrepancy:0.001739	Resample Pool Num:2
Train Epoch:4 [batch_index:20/22]	Loss1:0.049066	Loss2:0.043877	Discrepancy:0.001871	Resample Pool Num:1
