Namespace(all_use=True, backbone='resnet18', batch_interval=10, batch_size=36, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\office_31\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=256, lr=0.0003, max_epoch=160, mixup_beta=0.5, no_cuda=False, num_classes=31, num_k=4, one_step=False, optimizer='sgd', rampup_length=60, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='A', source_loader='normal', supplementary_info='solver_fixed.py, --backbone=resnet18, one_step=False', target='D', target_loader='normal', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0/78]	Loss1:3.424747	Loss2:3.442624	Discrepancy:0.008654
Train Epoch:0 [batch_index:10/78]	Loss1:2.863144	Loss2:2.958260	Discrepancy:0.007543
Train Epoch:0 [batch_index:20/78]	Loss1:2.464378	Loss2:2.388827	Discrepancy:0.006971
Train Epoch:0 [batch_index:30/78]	Loss1:2.312483	Loss2:2.286247	Discrepancy:0.006873
Train Epoch:0 [batch_index:40/78]	Loss1:2.203540	Loss2:2.181157	Discrepancy:0.006750
Train Epoch:0 [batch_index:50/78]	Loss1:1.656204	Loss2:1.584152	Discrepancy:0.007690
Train Epoch:0 [batch_index:60/78]	Loss1:1.480933	Loss2:1.499304	Discrepancy:0.007164
Train Epoch:0 [batch_index:70/78]	Loss1:1.397008	Loss2:1.409713	Discrepancy:0.007760
Train Epoch:1 [batch_index:0/78]	Loss1:1.071263	Loss2:1.060968	Discrepancy:0.007304
Train Epoch:1 [batch_index:10/78]	Loss1:1.126409	Loss2:1.126244	Discrepancy:0.007053
Train Epoch:1 [batch_index:20/78]	Loss1:0.836840	Loss2:0.783897	Discrepancy:0.006674
Train Epoch:1 [batch_index:30/78]	Loss1:0.886673	Loss2:0.837918	Discrepancy:0.006510
Train Epoch:1 [batch_index:40/78]	Loss1:0.910896	Loss2:0.909045	Discrepancy:0.006417
Train Epoch:1 [batch_index:50/78]	Loss1:0.843747	Loss2:0.804523	Discrepancy:0.006529
Train Epoch:1 [batch_index:60/78]	Loss1:0.789082	Loss2:0.751602	Discrepancy:0.006177
Train Epoch:1 [batch_index:70/78]	Loss1:0.627314	Loss2:0.653790	Discrepancy:0.007806
Train Epoch:2 [batch_index:0/78]	Loss1:0.495550	Loss2:0.477075	Discrepancy:0.007012
Train Epoch:2 [batch_index:10/78]	Loss1:0.549591	Loss2:0.548249	Discrepancy:0.006538
Train Epoch:2 [batch_index:20/78]	Loss1:0.756087	Loss2:0.754542	Discrepancy:0.006277
Train Epoch:2 [batch_index:30/78]	Loss1:0.817034	Loss2:0.766881	Discrepancy:0.006194
Train Epoch:2 [batch_index:40/78]	Loss1:0.615072	Loss2:0.636597	Discrepancy:0.005851
Train Epoch:2 [batch_index:50/78]	Loss1:0.566030	Loss2:0.525513	Discrepancy:0.006423
Train Epoch:2 [batch_index:60/78]	Loss1:0.854077	Loss2:0.878517	Discrepancy:0.005554
Train Epoch:2 [batch_index:70/78]	Loss1:1.007517	Loss2:1.008757	Discrepancy:0.006157
Train Epoch:3 [batch_index:0/78]	Loss1:0.448431	Loss2:0.463105	Discrepancy:0.006295
Train Epoch:3 [batch_index:10/78]	Loss1:0.525269	Loss2:0.546381	Discrepancy:0.005392
Train Epoch:3 [batch_index:20/78]	Loss1:0.588498	Loss2:0.560061	Discrepancy:0.004992
Train Epoch:3 [batch_index:30/78]	Loss1:0.220090	Loss2:0.200600	Discrepancy:0.005256
Train Epoch:3 [batch_index:40/78]	Loss1:0.572047	Loss2:0.553353	Discrepancy:0.005362
Train Epoch:3 [batch_index:50/78]	Loss1:0.435479	Loss2:0.421592	Discrepancy:0.005838
Train Epoch:3 [batch_index:60/78]	Loss1:0.486708	Loss2:0.500322	Discrepancy:0.006349
Train Epoch:3 [batch_index:70/78]	Loss1:0.522030	Loss2:0.527599	Discrepancy:0.004785
Train Epoch:4 [batch_index:0/78]	Loss1:0.176770	Loss2:0.171961	Discrepancy:0.004538
Train Epoch:4 [batch_index:10/78]	Loss1:0.310869	Loss2:0.308750	Discrepancy:0.005703
Train Epoch:4 [batch_index:20/78]	Loss1:0.301418	Loss2:0.318853	Discrepancy:0.005128
Train Epoch:4 [batch_index:30/78]	Loss1:0.200850	Loss2:0.185859	Discrepancy:0.004861
Train Epoch:4 [batch_index:40/78]	Loss1:0.363543	Loss2:0.351469	Discrepancy:0.006390
Train Epoch:4 [batch_index:50/78]	Loss1:0.257616	Loss2:0.257440	Discrepancy:0.005151
Train Epoch:4 [batch_index:60/78]	Loss1:0.226237	Loss2:0.233773	Discrepancy:0.005059
