Namespace(all_use=True, backbone='resnet18', batch_interval=10, batch_size=36, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\office_31\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=256, lr=0.001, max_epoch=160, mixup_beta=0.5, no_cuda=False, num_classes=31, num_k=4, one_step=False, optimizer='sgd', rampup_length=60, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='A', source_loader='normal', supplementary_info='solver_fixed.py, --backbone=resnet18, one_step=False', target='W', target_loader='normal', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0/78]	Loss1:3.370097	Loss2:3.407827	Discrepancy:0.008683
Train Epoch:0 [batch_index:10/78]	Loss1:2.312907	Loss2:2.351052	Discrepancy:0.007092
Train Epoch:0 [batch_index:20/78]	Loss1:1.548457	Loss2:1.628893	Discrepancy:0.007105
Train Epoch:0 [batch_index:30/78]	Loss1:1.181722	Loss2:1.209925	Discrepancy:0.006513
Train Epoch:0 [batch_index:40/78]	Loss1:0.926505	Loss2:0.991059	Discrepancy:0.007347
Train Epoch:0 [batch_index:50/78]	Loss1:0.756884	Loss2:0.761502	Discrepancy:0.006867
Train Epoch:0 [batch_index:60/78]	Loss1:0.921692	Loss2:0.944658	Discrepancy:0.006752
Train Epoch:0 [batch_index:70/78]	Loss1:0.769031	Loss2:0.768704	Discrepancy:0.005461
Train Epoch:1 [batch_index:0/78]	Loss1:0.429080	Loss2:0.449035	Discrepancy:0.005265
Train Epoch:1 [batch_index:10/78]	Loss1:0.496746	Loss2:0.511966	Discrepancy:0.005253
Train Epoch:1 [batch_index:20/78]	Loss1:0.469752	Loss2:0.448554	Discrepancy:0.005167
Train Epoch:1 [batch_index:30/78]	Loss1:0.525077	Loss2:0.548594	Discrepancy:0.004361
Train Epoch:1 [batch_index:40/78]	Loss1:0.357867	Loss2:0.365097	Discrepancy:0.005004
Train Epoch:1 [batch_index:50/78]	Loss1:0.723774	Loss2:0.667221	Discrepancy:0.004231
Train Epoch:1 [batch_index:60/78]	Loss1:0.508879	Loss2:0.511057	Discrepancy:0.004302
Train Epoch:1 [batch_index:70/78]	Loss1:0.160381	Loss2:0.157584	Discrepancy:0.003522
Train Epoch:2 [batch_index:0/78]	Loss1:0.254153	Loss2:0.287590	Discrepancy:0.004489
Train Epoch:2 [batch_index:10/78]	Loss1:0.261739	Loss2:0.278800	Discrepancy:0.004724
