Namespace(all_use=True, backbone='resnet18', batch_interval=10, batch_size=36, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\office_31\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=256, lr=0.001, max_epoch=160, mixup_beta=0.5, no_cuda=False, num_classes=31, num_k=4, one_step=False, optimizer='sgd', rampup_length=60, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='D', source_loader='normal', supplementary_info='solver_fixed.py, --backbone=resnet18, one_step=False', target='A', target_loader='normal', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0/78]	Loss1:3.377192	Loss2:3.366956	Discrepancy:0.008346
Train Epoch:0 [batch_index:10/78]	Loss1:1.844110	Loss2:1.889447	Discrepancy:0.007450
Train Epoch:0 [batch_index:20/78]	Loss1:0.710377	Loss2:0.776405	Discrepancy:0.008453
Train Epoch:0 [batch_index:30/78]	Loss1:0.228036	Loss2:0.235797	Discrepancy:0.009038
Train Epoch:0 [batch_index:40/78]	Loss1:0.104652	Loss2:0.113578	Discrepancy:0.009146
Train Epoch:0 [batch_index:50/78]	Loss1:0.111389	Loss2:0.117048	Discrepancy:0.008454
Train Epoch:0 [batch_index:60/78]	Loss1:0.092705	Loss2:0.095236	Discrepancy:0.008587
Train Epoch:0 [batch_index:70/78]	Loss1:0.058753	Loss2:0.055393	Discrepancy:0.009826
Train Epoch:1 [batch_index:0/78]	Loss1:0.036487	Loss2:0.038159	Discrepancy:0.008897
Train Epoch:1 [batch_index:10/78]	Loss1:0.030269	Loss2:0.035567	Discrepancy:0.009188
Train Epoch:1 [batch_index:20/78]	Loss1:0.028433	Loss2:0.028047	Discrepancy:0.007827
Train Epoch:1 [batch_index:30/78]	Loss1:0.020190	Loss2:0.019864	Discrepancy:0.008045
Train Epoch:1 [batch_index:40/78]	Loss1:0.021959	Loss2:0.022411	Discrepancy:0.007967
Train Epoch:1 [batch_index:50/78]	Loss1:0.021285	Loss2:0.020857	Discrepancy:0.007239
Train Epoch:1 [batch_index:60/78]	Loss1:0.028370	Loss2:0.027458	Discrepancy:0.006687
Train Epoch:1 [batch_index:70/78]	Loss1:0.015766	Loss2:0.014440	Discrepancy:0.006838
Train Epoch:2 [batch_index:0/78]	Loss1:0.014050	Loss2:0.014530	Discrepancy:0.006215
Train Epoch:2 [batch_index:10/78]	Loss1:0.020828	Loss2:0.021485	Discrepancy:0.005899
Train Epoch:2 [batch_index:20/78]	Loss1:0.018114	Loss2:0.017567	Discrepancy:0.009341
Train Epoch:2 [batch_index:30/78]	Loss1:0.017780	Loss2:0.017061	Discrepancy:0.006580
Train Epoch:2 [batch_index:40/78]	Loss1:0.011849	Loss2:0.012337	Discrepancy:0.007215
Train Epoch:2 [batch_index:50/78]	Loss1:0.012784	Loss2:0.012332	Discrepancy:0.006334
Train Epoch:2 [batch_index:60/78]	Loss1:0.014384	Loss2:0.014188	Discrepancy:0.005139
Train Epoch:2 [batch_index:70/78]	Loss1:0.019491	Loss2:0.019853	Discrepancy:0.006525
Train Epoch:3 [batch_index:0/78]	Loss1:0.016084	Loss2:0.020716	Discrepancy:0.005471
Train Epoch:3 [batch_index:10/78]	Loss1:0.011120	Loss2:0.010362	Discrepancy:0.005924
Train Epoch:3 [batch_index:20/78]	Loss1:0.010350	Loss2:0.010512	Discrepancy:0.005929
Train Epoch:3 [batch_index:30/78]	Loss1:0.013638	Loss2:0.014297	Discrepancy:0.007591
Train Epoch:3 [batch_index:40/78]	Loss1:0.008494	Loss2:0.009331	Discrepancy:0.007139
Train Epoch:3 [batch_index:50/78]	Loss1:0.009761	Loss2:0.009650	Discrepancy:0.005132
Train Epoch:3 [batch_index:60/78]	Loss1:0.014413	Loss2:0.013470	Discrepancy:0.006970
Train Epoch:3 [batch_index:70/78]	Loss1:0.016602	Loss2:0.017761	Discrepancy:0.006387
Train Epoch:4 [batch_index:0/78]	Loss1:0.006496	Loss2:0.006167	Discrepancy:0.005782
Train Epoch:4 [batch_index:10/78]	Loss1:0.009965	Loss2:0.011345	Discrepancy:0.006707
Train Epoch:4 [batch_index:20/78]	Loss1:0.006552	Loss2:0.006770	Discrepancy:0.005659
Train Epoch:4 [batch_index:30/78]	Loss1:0.009497	Loss2:0.009597	Discrepancy:0.005503
Train Epoch:4 [batch_index:40/78]	Loss1:0.010341	Loss2:0.011584	Discrepancy:0.004618
Train Epoch:4 [batch_index:50/78]	Loss1:0.009801	Loss2:0.009706	Discrepancy:0.005878
Train Epoch:4 [batch_index:60/78]	Loss1:0.016354	Loss2:0.017067	Discrepancy:0.006147
Train Epoch:4 [batch_index:70/78]	Loss1:0.007202	Loss2:0.006886	Discrepancy:0.005201
Train Epoch:5 [batch_index:0/78]	Loss1:0.008257	Loss2:0.008328	Discrepancy:0.004335
Train Epoch:5 [batch_index:10/78]	Loss1:0.005349	Loss2:0.005445	Discrepancy:0.005331
Train Epoch:5 [batch_index:20/78]	Loss1:0.007292	Loss2:0.007019	Discrepancy:0.005692
Train Epoch:5 [batch_index:30/78]	Loss1:0.007678	Loss2:0.007373	Discrepancy:0.005854
Train Epoch:5 [batch_index:40/78]	Loss1:0.006158	Loss2:0.005978	Discrepancy:0.006726
Train Epoch:5 [batch_index:50/78]	Loss1:0.009280	Loss2:0.009545	Discrepancy:0.006388
Train Epoch:5 [batch_index:60/78]	Loss1:0.005132	Loss2:0.005028	Discrepancy:0.005963
Train Epoch:5 [batch_index:70/78]	Loss1:0.005734	Loss2:0.006759	Discrepancy:0.005977
Train Epoch:6 [batch_index:0/78]	Loss1:0.010998	Loss2:0.010407	Discrepancy:0.004694
Train Epoch:6 [batch_index:10/78]	Loss1:0.007904	Loss2:0.008477	Discrepancy:0.005912
Train Epoch:6 [batch_index:20/78]	Loss1:0.007506	Loss2:0.007977	Discrepancy:0.005530
Train Epoch:6 [batch_index:30/78]	Loss1:0.005662	Loss2:0.005228	Discrepancy:0.004758
Train Epoch:6 [batch_index:40/78]	Loss1:0.005427	Loss2:0.005398	Discrepancy:0.005604
Train Epoch:6 [batch_index:50/78]	Loss1:0.004962	Loss2:0.005582	Discrepancy:0.003818
Train Epoch:6 [batch_index:60/78]	Loss1:0.007376	Loss2:0.007013	Discrepancy:0.005090
Train Epoch:6 [batch_index:70/78]	Loss1:0.005508	Loss2:0.005038	Discrepancy:0.004943
Train Epoch:7 [batch_index:0/78]	Loss1:0.009139	Loss2:0.008327	Discrepancy:0.005648
Train Epoch:7 [batch_index:10/78]	Loss1:0.007076	Loss2:0.007251	Discrepancy:0.004953
Train Epoch:7 [batch_index:20/78]	Loss1:0.006012	Loss2:0.006204	Discrepancy:0.005013
Train Epoch:7 [batch_index:30/78]	Loss1:0.005289	Loss2:0.005183	Discrepancy:0.004182
Train Epoch:7 [batch_index:40/78]	Loss1:0.008082	Loss2:0.007874	Discrepancy:0.004727
