Namespace(all_use=True, backbone='resnet18', batch_interval=10, batch_size=36, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\office_31\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=256, lr=0.0003, max_epoch=160, mixup_beta=0.5, no_cuda=False, num_classes=31, num_k=4, one_step=False, optimizer='sgd', rampup_length=60, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='D', source_loader='normal', supplementary_info='solver_fixed.py, --backbone=resnet18, one_step=False', target='W', target_loader='normal', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0/22]	Loss1:3.415257	Loss2:3.448630	Discrepancy:0.008235
Train Epoch:0 [batch_index:10/22]	Loss1:2.689082	Loss2:2.695288	Discrepancy:0.007739
Train Epoch:0 [batch_index:20/22]	Loss1:1.749991	Loss2:1.911003	Discrepancy:0.007495
Train Epoch:1 [batch_index:0/22]	Loss1:1.756082	Loss2:1.888024	Discrepancy:0.008327
Train Epoch:1 [batch_index:10/22]	Loss1:1.141880	Loss2:1.303819	Discrepancy:0.007133
Train Epoch:1 [batch_index:20/22]	Loss1:0.812567	Loss2:0.933009	Discrepancy:0.008120
Train Epoch:2 [batch_index:0/22]	Loss1:0.868482	Loss2:0.938370	Discrepancy:0.007437
Train Epoch:2 [batch_index:10/22]	Loss1:0.546409	Loss2:0.581367	Discrepancy:0.007047
Train Epoch:2 [batch_index:20/22]	Loss1:0.446015	Loss2:0.486718	Discrepancy:0.006691
Train Epoch:3 [batch_index:0/22]	Loss1:0.342807	Loss2:0.383034	Discrepancy:0.007728
Train Epoch:3 [batch_index:10/22]	Loss1:0.288490	Loss2:0.335059	Discrepancy:0.005701
Train Epoch:3 [batch_index:20/22]	Loss1:0.225965	Loss2:0.253334	Discrepancy:0.006616
Train Epoch:4 [batch_index:0/22]	Loss1:0.227444	Loss2:0.280652	Discrepancy:0.006686
Train Epoch:4 [batch_index:10/22]	Loss1:0.255564	Loss2:0.277681	Discrepancy:0.005859
Train Epoch:4 [batch_index:20/22]	Loss1:0.171579	Loss2:0.199741	Discrepancy:0.005124
Train Epoch:5 [batch_index:0/22]	Loss1:0.152131	Loss2:0.191985	Discrepancy:0.004868
Train Epoch:5 [batch_index:10/22]	Loss1:0.112085	Loss2:0.130383	Discrepancy:0.006000
Train Epoch:5 [batch_index:20/22]	Loss1:0.093390	Loss2:0.104942	Discrepancy:0.004625
Train Epoch:6 [batch_index:0/22]	Loss1:0.114641	Loss2:0.139056	Discrepancy:0.003902
Train Epoch:6 [batch_index:10/22]	Loss1:0.086072	Loss2:0.095741	Discrepancy:0.005127
Train Epoch:6 [batch_index:20/22]	Loss1:0.069720	Loss2:0.087589	Discrepancy:0.005591
Train Epoch:7 [batch_index:0/22]	Loss1:0.081871	Loss2:0.090537	Discrepancy:0.003846
Train Epoch:7 [batch_index:10/22]	Loss1:0.085585	Loss2:0.094865	Discrepancy:0.004273
Train Epoch:7 [batch_index:20/22]	Loss1:0.101435	Loss2:0.117005	Discrepancy:0.005295
Train Epoch:8 [batch_index:0/22]	Loss1:0.092498	Loss2:0.092972	Discrepancy:0.003795
Train Epoch:8 [batch_index:10/22]	Loss1:0.061831	Loss2:0.072303	Discrepancy:0.003649
Train Epoch:8 [batch_index:20/22]	Loss1:0.059659	Loss2:0.063322	Discrepancy:0.005311
Train Epoch:9 [batch_index:0/22]	Loss1:0.055083	Loss2:0.062134	Discrepancy:0.004020
Train Epoch:9 [batch_index:10/22]	Loss1:0.068874	Loss2:0.082466	Discrepancy:0.003178
Train Epoch:9 [batch_index:20/22]	Loss1:0.060691	Loss2:0.064655	Discrepancy:0.005278
Train Epoch:10 [batch_index:0/22]	Loss1:0.044683	Loss2:0.048970	Discrepancy:0.004149
Train Epoch:10 [batch_index:10/22]	Loss1:0.051142	Loss2:0.056682	Discrepancy:0.004004
Train Epoch:10 [batch_index:20/22]	Loss1:0.036100	Loss2:0.039369	Discrepancy:0.004817
Train Epoch:11 [batch_index:0/22]	Loss1:0.035705	Loss2:0.041340	Discrepancy:0.003503
Train Epoch:11 [batch_index:10/22]	Loss1:0.036911	Loss2:0.035363	Discrepancy:0.003580
Train Epoch:11 [batch_index:20/22]	Loss1:0.047255	Loss2:0.045751	Discrepancy:0.002735
Train Epoch:12 [batch_index:0/22]	Loss1:0.032063	Loss2:0.035204	Discrepancy:0.003161
Train Epoch:12 [batch_index:10/22]	Loss1:0.045368	Loss2:0.047759	Discrepancy:0.004005
Train Epoch:12 [batch_index:20/22]	Loss1:0.053664	Loss2:0.051923	Discrepancy:0.004286
Train Epoch:13 [batch_index:0/22]	Loss1:0.034416	Loss2:0.038731	Discrepancy:0.003127
Train Epoch:13 [batch_index:10/22]	Loss1:0.031688	Loss2:0.038210	Discrepancy:0.003818
Train Epoch:13 [batch_index:20/22]	Loss1:0.029201	Loss2:0.033541	Discrepancy:0.002521
Train Epoch:14 [batch_index:0/22]	Loss1:0.034145	Loss2:0.034288	Discrepancy:0.003841
Train Epoch:14 [batch_index:10/22]	Loss1:0.033611	Loss2:0.035223	Discrepancy:0.003147
Train Epoch:14 [batch_index:20/22]	Loss1:0.032786	Loss2:0.034081	Discrepancy:0.002744
Train Epoch:15 [batch_index:0/22]	Loss1:0.028708	Loss2:0.033520	Discrepancy:0.004032
Train Epoch:15 [batch_index:10/22]	Loss1:0.023231	Loss2:0.023815	Discrepancy:0.003556
Train Epoch:15 [batch_index:20/22]	Loss1:0.027784	Loss2:0.030716	Discrepancy:0.002637
Train Epoch:16 [batch_index:0/22]	Loss1:0.037519	Loss2:0.039416	Discrepancy:0.003095
Train Epoch:16 [batch_index:10/22]	Loss1:0.022680	Loss2:0.025565	Discrepancy:0.002512
Train Epoch:16 [batch_index:20/22]	Loss1:0.018621	Loss2:0.020931	Discrepancy:0.002912
Train Epoch:17 [batch_index:0/22]	Loss1:0.023471	Loss2:0.028399	Discrepancy:0.002328
Train Epoch:17 [batch_index:10/22]	Loss1:0.021504	Loss2:0.021557	Discrepancy:0.003735
Train Epoch:17 [batch_index:20/22]	Loss1:0.026213	Loss2:0.029035	Discrepancy:0.002818
Train Epoch:18 [batch_index:0/22]	Loss1:0.021550	Loss2:0.025283	Discrepancy:0.002399
Train Epoch:18 [batch_index:10/22]	Loss1:0.015897	Loss2:0.017827	Discrepancy:0.002115
Train Epoch:18 [batch_index:20/22]	Loss1:0.040082	Loss2:0.042116	Discrepancy:0.003874
Train Epoch:19 [batch_index:0/22]	Loss1:0.016762	Loss2:0.018158	Discrepancy:0.002435
Train Epoch:19 [batch_index:10/22]	Loss1:0.015444	Loss2:0.018403	Discrepancy:0.003035
Train Epoch:19 [batch_index:20/22]	Loss1:0.022528	Loss2:0.024651	Discrepancy:0.002773
Train Epoch:20 [batch_index:0/22]	Loss1:0.017011	Loss2:0.021332	Discrepancy:0.002228
Train Epoch:20 [batch_index:10/22]	Loss1:0.031130	Loss2:0.037992	Discrepancy:0.002881
Train Epoch:20 [batch_index:20/22]	Loss1:0.019828	Loss2:0.024716	Discrepancy:0.002538
Train Epoch:21 [batch_index:0/22]	Loss1:0.024015	Loss2:0.025312	Discrepancy:0.002594
Train Epoch:21 [batch_index:10/22]	Loss1:0.018664	Loss2:0.019386	Discrepancy:0.002555
Train Epoch:21 [batch_index:20/22]	Loss1:0.012782	Loss2:0.014024	Discrepancy:0.002646
Train Epoch:22 [batch_index:0/22]	Loss1:0.023111	Loss2:0.021959	Discrepancy:0.002940
Train Epoch:22 [batch_index:10/22]	Loss1:0.015548	Loss2:0.018430	Discrepancy:0.002257
Train Epoch:22 [batch_index:20/22]	Loss1:0.020360	Loss2:0.020548	Discrepancy:0.002857
Train Epoch:23 [batch_index:0/22]	Loss1:0.017955	Loss2:0.019225	Discrepancy:0.002018
Train Epoch:23 [batch_index:10/22]	Loss1:0.013108	Loss2:0.013417	Discrepancy:0.002153
Train Epoch:23 [batch_index:20/22]	Loss1:0.019743	Loss2:0.022324	Discrepancy:0.002855
Train Epoch:24 [batch_index:0/22]	Loss1:0.013480	Loss2:0.014685	Discrepancy:0.003451
Train Epoch:24 [batch_index:10/22]	Loss1:0.018132	Loss2:0.022650	Discrepancy:0.002404
Train Epoch:24 [batch_index:20/22]	Loss1:0.011723	Loss2:0.012005	Discrepancy:0.001829
Train Epoch:25 [batch_index:0/22]	Loss1:0.017123	Loss2:0.021872	Discrepancy:0.002522
Train Epoch:25 [batch_index:10/22]	Loss1:0.019218	Loss2:0.020463	Discrepancy:0.001644
Train Epoch:25 [batch_index:20/22]	Loss1:0.013416	Loss2:0.016097	Discrepancy:0.002241
Train Epoch:26 [batch_index:0/22]	Loss1:0.009245	Loss2:0.010221	Discrepancy:0.001738
Train Epoch:26 [batch_index:10/22]	Loss1:0.013965	Loss2:0.015301	Discrepancy:0.001488
Train Epoch:26 [batch_index:20/22]	Loss1:0.015822	Loss2:0.016575	Discrepancy:0.002642
Train Epoch:27 [batch_index:0/22]	Loss1:0.018582	Loss2:0.020792	Discrepancy:0.001526
