Namespace(all_use=True, backbone='resnet18', batch_interval=10, batch_size=36, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\office_31\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=256, lr=0.001, max_epoch=160, mixup_beta=0.5, no_cuda=False, num_classes=31, num_k=4, one_step=False, optimizer='sgd', rampup_length=60, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='W', source_loader='normal', supplementary_info='solver_fixed.py, --backbone=resnet18, one_step=False', target='A', target_loader='normal', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0/78]	Loss1:3.313452	Loss2:3.297894	Discrepancy:0.008840
Train Epoch:0 [batch_index:10/78]	Loss1:1.757704	Loss2:1.732138	Discrepancy:0.008095
Train Epoch:0 [batch_index:20/78]	Loss1:0.864796	Loss2:0.812826	Discrepancy:0.008556
Train Epoch:0 [batch_index:30/78]	Loss1:0.372374	Loss2:0.359282	Discrepancy:0.007364
Train Epoch:0 [batch_index:40/78]	Loss1:0.194621	Loss2:0.215848	Discrepancy:0.009563
Train Epoch:0 [batch_index:50/78]	Loss1:0.098756	Loss2:0.114380	Discrepancy:0.008892
Train Epoch:0 [batch_index:60/78]	Loss1:0.083123	Loss2:0.081548	Discrepancy:0.007323
Train Epoch:0 [batch_index:70/78]	Loss1:0.072890	Loss2:0.065057	Discrepancy:0.007017
Train Epoch:1 [batch_index:0/78]	Loss1:0.050350	Loss2:0.050088	Discrepancy:0.007085
Train Epoch:1 [batch_index:10/78]	Loss1:0.066702	Loss2:0.067309	Discrepancy:0.007827
Train Epoch:1 [batch_index:20/78]	Loss1:0.043537	Loss2:0.041601	Discrepancy:0.008428
Train Epoch:1 [batch_index:30/78]	Loss1:0.037654	Loss2:0.037100	Discrepancy:0.006298
Train Epoch:1 [batch_index:40/78]	Loss1:0.028315	Loss2:0.029596	Discrepancy:0.007281
Train Epoch:1 [batch_index:50/78]	Loss1:0.018881	Loss2:0.019194	Discrepancy:0.006933
Train Epoch:1 [batch_index:60/78]	Loss1:0.019019	Loss2:0.021873	Discrepancy:0.009465
Train Epoch:1 [batch_index:70/78]	Loss1:0.022142	Loss2:0.022568	Discrepancy:0.007219
Train Epoch:2 [batch_index:0/78]	Loss1:0.020098	Loss2:0.019791	Discrepancy:0.005161
Train Epoch:2 [batch_index:10/78]	Loss1:0.026256	Loss2:0.028266	Discrepancy:0.008174
Train Epoch:2 [batch_index:20/78]	Loss1:0.018938	Loss2:0.019873	Discrepancy:0.006925
Train Epoch:2 [batch_index:30/78]	Loss1:0.019967	Loss2:0.021965	Discrepancy:0.005736
Train Epoch:2 [batch_index:40/78]	Loss1:0.020375	Loss2:0.019412	Discrepancy:0.007462
Train Epoch:2 [batch_index:50/78]	Loss1:0.012246	Loss2:0.010976	Discrepancy:0.006244
Train Epoch:2 [batch_index:60/78]	Loss1:0.013670	Loss2:0.012909	Discrepancy:0.005995
Train Epoch:2 [batch_index:70/78]	Loss1:0.013227	Loss2:0.012596	Discrepancy:0.006263
Train Epoch:3 [batch_index:0/78]	Loss1:0.008197	Loss2:0.009516	Discrepancy:0.005944
Train Epoch:3 [batch_index:10/78]	Loss1:0.021325	Loss2:0.021039	Discrepancy:0.005209
Train Epoch:3 [batch_index:20/78]	Loss1:0.020818	Loss2:0.018767	Discrepancy:0.007464
Train Epoch:3 [batch_index:30/78]	Loss1:0.016029	Loss2:0.015611	Discrepancy:0.005700
Train Epoch:3 [batch_index:40/78]	Loss1:0.016327	Loss2:0.016710	Discrepancy:0.006515
Train Epoch:3 [batch_index:50/78]	Loss1:0.012811	Loss2:0.011917	Discrepancy:0.007258
Train Epoch:3 [batch_index:60/78]	Loss1:0.008113	Loss2:0.009177	Discrepancy:0.006314
Train Epoch:3 [batch_index:70/78]	Loss1:0.008717	Loss2:0.009141	Discrepancy:0.005752
Train Epoch:4 [batch_index:0/78]	Loss1:0.015770	Loss2:0.014673	Discrepancy:0.006715
Train Epoch:4 [batch_index:10/78]	Loss1:0.011782	Loss2:0.012543	Discrepancy:0.005517
Train Epoch:4 [batch_index:20/78]	Loss1:0.006101	Loss2:0.006082	Discrepancy:0.006200
Train Epoch:4 [batch_index:30/78]	Loss1:0.010537	Loss2:0.010133	Discrepancy:0.006211
Train Epoch:4 [batch_index:40/78]	Loss1:0.008170	Loss2:0.007376	Discrepancy:0.005802
Train Epoch:4 [batch_index:50/78]	Loss1:0.006012	Loss2:0.006733	Discrepancy:0.005830
Train Epoch:4 [batch_index:60/78]	Loss1:0.009391	Loss2:0.009845	Discrepancy:0.005223
Train Epoch:4 [batch_index:70/78]	Loss1:0.005836	Loss2:0.006355	Discrepancy:0.005727
Train Epoch:5 [batch_index:0/78]	Loss1:0.007522	Loss2:0.007743	Discrepancy:0.005525
Train Epoch:5 [batch_index:10/78]	Loss1:0.007115	Loss2:0.006549	Discrepancy:0.006255
Train Epoch:5 [batch_index:20/78]	Loss1:0.007958	Loss2:0.008371	Discrepancy:0.006607
Train Epoch:5 [batch_index:30/78]	Loss1:0.007616	Loss2:0.006715	Discrepancy:0.005084
Train Epoch:5 [batch_index:40/78]	Loss1:0.006450	Loss2:0.007191	Discrepancy:0.005381
Train Epoch:5 [batch_index:50/78]	Loss1:0.008635	Loss2:0.008805	Discrepancy:0.003928
Train Epoch:5 [batch_index:60/78]	Loss1:0.010933	Loss2:0.011921	Discrepancy:0.006152
Train Epoch:5 [batch_index:70/78]	Loss1:0.008071	Loss2:0.008493	Discrepancy:0.004933
Train Epoch:6 [batch_index:0/78]	Loss1:0.011622	Loss2:0.011013	Discrepancy:0.004976
Train Epoch:6 [batch_index:10/78]	Loss1:0.012516	Loss2:0.012093	Discrepancy:0.005211
Train Epoch:6 [batch_index:20/78]	Loss1:0.008683	Loss2:0.009634	Discrepancy:0.005249
Train Epoch:6 [batch_index:30/78]	Loss1:0.020187	Loss2:0.018290	Discrepancy:0.006145
Train Epoch:6 [batch_index:40/78]	Loss1:0.007529	Loss2:0.008539	Discrepancy:0.004259
Train Epoch:6 [batch_index:50/78]	Loss1:0.009286	Loss2:0.009265	Discrepancy:0.004989
Train Epoch:6 [batch_index:60/78]	Loss1:0.007849	Loss2:0.009616	Discrepancy:0.006173
Train Epoch:6 [batch_index:70/78]	Loss1:0.006065	Loss2:0.006473	Discrepancy:0.005525
Train Epoch:7 [batch_index:0/78]	Loss1:0.019180	Loss2:0.016595	Discrepancy:0.005400
Train Epoch:7 [batch_index:10/78]	Loss1:0.009163	Loss2:0.010606	Discrepancy:0.004480
Train Epoch:7 [batch_index:20/78]	Loss1:0.014180	Loss2:0.015088	Discrepancy:0.005447
Train Epoch:7 [batch_index:30/78]	Loss1:0.008689	Loss2:0.008583	Discrepancy:0.004881
Train Epoch:7 [batch_index:40/78]	Loss1:0.007279	Loss2:0.007033	Discrepancy:0.004602
Train Epoch:7 [batch_index:50/78]	Loss1:0.004808	Loss2:0.004614	Discrepancy:0.004613
Train Epoch:7 [batch_index:60/78]	Loss1:0.005378	Loss2:0.005718	Discrepancy:0.003842
