Namespace(all_use=True, backbone='resnet18', batch_interval=10, batch_size=36, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\office_31\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=256, lr=0.001, max_epoch=160, mixup_beta=0.5, no_cuda=False, num_classes=31, num_k=4, one_step=False, optimizer='sgd', rampup_length=60, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='W', source_loader='normal', supplementary_info='solver_fixed.py, --backbone=resnet18, one_step=False', target='D', target_loader='normal', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0/22]	Loss1:3.328979	Loss2:3.289485	Discrepancy:0.009031
Train Epoch:0 [batch_index:10/22]	Loss1:1.551947	Loss2:1.476749	Discrepancy:0.006709
Train Epoch:0 [batch_index:20/22]	Loss1:1.010065	Loss2:0.906448	Discrepancy:0.006201
Train Epoch:1 [batch_index:0/22]	Loss1:0.488131	Loss2:0.480855	Discrepancy:0.005068
Train Epoch:1 [batch_index:10/22]	Loss1:0.478958	Loss2:0.416334	Discrepancy:0.004616
Train Epoch:1 [batch_index:20/22]	Loss1:0.198771	Loss2:0.186100	Discrepancy:0.003155
Train Epoch:2 [batch_index:0/22]	Loss1:0.168926	Loss2:0.165614	Discrepancy:0.003577
Train Epoch:2 [batch_index:10/22]	Loss1:0.071733	Loss2:0.071641	Discrepancy:0.002690
Train Epoch:2 [batch_index:20/22]	Loss1:0.086511	Loss2:0.084196	Discrepancy:0.002837
Train Epoch:3 [batch_index:0/22]	Loss1:0.059922	Loss2:0.064306	Discrepancy:0.002765
Train Epoch:3 [batch_index:10/22]	Loss1:0.049565	Loss2:0.048347	Discrepancy:0.002125
Train Epoch:3 [batch_index:20/22]	Loss1:0.044406	Loss2:0.042161	Discrepancy:0.001963
Train Epoch:4 [batch_index:0/22]	Loss1:0.043673	Loss2:0.040206	Discrepancy:0.001989
Train Epoch:4 [batch_index:10/22]	Loss1:0.072948	Loss2:0.060627	Discrepancy:0.001863
Train Epoch:4 [batch_index:20/22]	Loss1:0.054305	Loss2:0.051995	Discrepancy:0.001637
Train Epoch:5 [batch_index:0/22]	Loss1:0.034048	Loss2:0.032041	Discrepancy:0.001510
Train Epoch:5 [batch_index:10/22]	Loss1:0.024415	Loss2:0.023274	Discrepancy:0.001357
Train Epoch:5 [batch_index:20/22]	Loss1:0.029381	Loss2:0.030119	Discrepancy:0.002008
Train Epoch:6 [batch_index:0/22]	Loss1:0.022265	Loss2:0.022740	Discrepancy:0.001488
Train Epoch:6 [batch_index:10/22]	Loss1:0.024711	Loss2:0.021037	Discrepancy:0.001347
Train Epoch:6 [batch_index:20/22]	Loss1:0.018987	Loss2:0.017038	Discrepancy:0.001258
Train Epoch:7 [batch_index:0/22]	Loss1:0.012351	Loss2:0.011130	Discrepancy:0.000697
