Namespace(all_use=True, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record/MCD_REPRODUCTION\\svhn_mnist\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=False, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='svhn', source_loader='mcd', supplementary_info='solver_fixed.py, --one_step=False', target='mnist', target_loader='mcd', use_abs_diff=False, weight_consistency=0.1, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:0 [batch_index:0]	Loss1:1.654188	Loss2:1.622396	Discrepancy:0.036308
Train Epoch:0 [batch_index:100]	Loss1:0.377373	Loss2:0.384147	Discrepancy:0.005983
Train Epoch:0 [batch_index:200]	Loss1:0.443151	Loss2:0.445359	Discrepancy:0.005496
Train Epoch:0 [batch_index:300]	Loss1:0.414571	Loss2:0.422182	Discrepancy:0.006184
Train Epoch:0 [batch_index:400]	Loss1:0.227736	Loss2:0.231080	Discrepancy:0.005488
Train Epoch:0 [batch_index:500]	Loss1:0.484098	Loss2:0.502390	Discrepancy:0.005731
Train Epoch:1 [batch_index:0]	Loss1:0.394373	Loss2:0.393864	Discrepancy:0.006823
Train Epoch:1 [batch_index:100]	Loss1:0.259116	Loss2:0.261332	Discrepancy:0.006619
Train Epoch:1 [batch_index:200]	Loss1:0.280209	Loss2:0.276313	Discrepancy:0.004860
Train Epoch:1 [batch_index:300]	Loss1:0.262747	Loss2:0.256550	Discrepancy:0.006126
Train Epoch:1 [batch_index:400]	Loss1:0.342083	Loss2:0.341933	Discrepancy:0.006492
Train Epoch:1 [batch_index:500]	Loss1:0.167105	Loss2:0.165961	Discrepancy:0.004655
Train Epoch:2 [batch_index:0]	Loss1:0.167474	Loss2:0.163482	Discrepancy:0.007078
