Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=30, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='mnist', source_loader='mcd', supplementary_info='solver_fixed.py', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:1 [batch_index:0/16]	Loss1:2.458064	Loss2:2.392446	Discrepancy:0.055827	Consistency weight:0.006738	Consistency loss_t1:0.002725	Consistency loss_t2:0.003225	Discrepancy_Resample Weight:0.006738	Resample Discrepancy0.000000	Resample Pool Num:117
Train Epoch:2 [batch_index:0/16]	Loss1:2.226171	Loss2:2.222242	Discrepancy:0.054232	Consistency weight:0.009351	Consistency loss_t1:0.005222	Consistency loss_t2:0.005643	Discrepancy_Resample Weight:0.009351	Resample Discrepancy0.055263	Resample Pool Num:1636
Train Epoch:3 [batch_index:0/16]	Loss1:2.115802	Loss2:2.079402	Discrepancy:0.054604	Consistency weight:0.012835	Consistency loss_t1:0.004661	Consistency loss_t2:0.005492	Discrepancy_Resample Weight:0.012835	Resample Discrepancy0.052975	Resample Pool Num:1553
Train Epoch:4 [batch_index:0/16]	Loss1:1.936414	Loss2:1.899312	Discrepancy:0.054470	Consistency weight:0.017422	Consistency loss_t1:0.005695	Consistency loss_t2:0.005708	Discrepancy_Resample Weight:0.017422	Resample Discrepancy0.056542	Resample Pool Num:1422
Train Epoch:5 [batch_index:0/16]	Loss1:1.766163	Loss2:1.789839	Discrepancy:0.056213	Consistency weight:0.023387	Consistency loss_t1:0.006803	Consistency loss_t2:0.007724	Discrepancy_Resample Weight:0.023387	Resample Discrepancy0.056416	Resample Pool Num:1285
Train Epoch:6 [batch_index:0/16]	Loss1:1.631927	Loss2:1.705376	Discrepancy:0.056631	Consistency weight:0.031048	Consistency loss_t1:0.007173	Consistency loss_t2:0.007189	Discrepancy_Resample Weight:0.031048	Resample Discrepancy0.057279	Resample Pool Num:1167
Train Epoch:7 [batch_index:0/16]	Loss1:1.569003	Loss2:1.669186	Discrepancy:0.059859	Consistency weight:0.040762	Consistency loss_t1:0.010679	Consistency loss_t2:0.009591	Discrepancy_Resample Weight:0.040762	Resample Discrepancy0.058170	Resample Pool Num:1059
Train Epoch:8 [batch_index:0/16]	Loss1:1.485236	Loss2:1.469742	Discrepancy:0.059797	Consistency weight:0.052925	Consistency loss_t1:0.011280	Consistency loss_t2:0.011200	Discrepancy_Resample Weight:0.052925	Resample Discrepancy0.057937	Resample Pool Num:996
Train Epoch:9 [batch_index:0/16]	Loss1:1.424254	Loss2:1.398368	Discrepancy:0.064322	Consistency weight:0.067956	Consistency loss_t1:0.012714	Consistency loss_t2:0.012931	Discrepancy_Resample Weight:0.067956	Resample Discrepancy0.059839	Resample Pool Num:896
Train Epoch:10 [batch_index:0/16]	Loss1:1.263805	Loss2:1.288024	Discrepancy:0.062955	Consistency weight:0.086294	Consistency loss_t1:0.014567	Consistency loss_t2:0.016017	Discrepancy_Resample Weight:0.086294	Resample Discrepancy0.063258	Resample Pool Num:873
Train Epoch:11 [batch_index:0/16]	Loss1:1.306494	Loss2:1.256485	Discrepancy:0.058772	Consistency weight:0.108368	Consistency loss_t1:0.017569	Consistency loss_t2:0.017504	Discrepancy_Resample Weight:0.108368	Resample Discrepancy0.062287	Resample Pool Num:830
Train Epoch:12 [batch_index:0/16]	Loss1:1.080149	Loss2:1.114318	Discrepancy:0.061093	Consistency weight:0.134585	Consistency loss_t1:0.018812	Consistency loss_t2:0.018058	Discrepancy_Resample Weight:0.134585	Resample Discrepancy0.064499	Resample Pool Num:768
Train Epoch:13 [batch_index:0/16]	Loss1:1.069183	Loss2:1.157695	Discrepancy:0.065248	Consistency weight:0.165299	Consistency loss_t1:0.022062	Consistency loss_t2:0.019539	Discrepancy_Resample Weight:0.165299	Resample Discrepancy0.067488	Resample Pool Num:667
Train Epoch:14 [batch_index:0/16]	Loss1:1.088846	Loss2:1.093124	Discrepancy:0.065596	Consistency weight:0.200778	Consistency loss_t1:0.023474	Consistency loss_t2:0.022028	Discrepancy_Resample Weight:0.200778	Resample Discrepancy0.061432	Resample Pool Num:622
Train Epoch:15 [batch_index:0/16]	Loss1:1.080200	Loss2:1.155733	Discrepancy:0.064127	Consistency weight:0.241177	Consistency loss_t1:0.024886	Consistency loss_t2:0.023570	Discrepancy_Resample Weight:0.241177	Resample Discrepancy0.068202	Resample Pool Num:655
Train Epoch:16 [batch_index:0/16]	Loss1:0.873829	Loss2:0.983467	Discrepancy:0.064168	Consistency weight:0.286505	Consistency loss_t1:0.026332	Consistency loss_t2:0.026488	Discrepancy_Resample Weight:0.286505	Resample Discrepancy0.072209	Resample Pool Num:606
Train Epoch:17 [batch_index:0/16]	Loss1:0.808494	Loss2:0.893825	Discrepancy:0.068538	Consistency weight:0.336590	Consistency loss_t1:0.030554	Consistency loss_t2:0.028444	Discrepancy_Resample Weight:0.336590	Resample Discrepancy0.070684	Resample Pool Num:564
Train Epoch:18 [batch_index:0/16]	Loss1:0.849450	Loss2:0.941522	Discrepancy:0.064876	Consistency weight:0.391062	Consistency loss_t1:0.032052	Consistency loss_t2:0.029958	Discrepancy_Resample Weight:0.391062	Resample Discrepancy0.076046	Resample Pool Num:557
Train Epoch:19 [batch_index:0/16]	Loss1:0.852797	Loss2:0.876561	Discrepancy:0.061741	Consistency weight:0.449329	Consistency loss_t1:0.034550	Consistency loss_t2:0.032793	Discrepancy_Resample Weight:0.449329	Resample Discrepancy0.073585	Resample Pool Num:536
Train Epoch:20 [batch_index:0/16]	Loss1:0.775477	Loss2:0.773054	Discrepancy:0.059893	Consistency weight:0.510573	Consistency loss_t1:0.036175	Consistency loss_t2:0.032992	Discrepancy_Resample Weight:0.510573	Resample Discrepancy0.071109	Resample Pool Num:525
Train Epoch:21 [batch_index:0/16]	Loss1:0.660312	Loss2:0.683972	Discrepancy:0.064432	Consistency weight:0.573753	Consistency loss_t1:0.038397	Consistency loss_t2:0.034481	Discrepancy_Resample Weight:0.573753	Resample Discrepancy0.065087	Resample Pool Num:523
Train Epoch:22 [batch_index:0/16]	Loss1:0.647714	Loss2:0.619151	Discrepancy:0.063887	Consistency weight:0.637628	Consistency loss_t1:0.037181	Consistency loss_t2:0.038429	Discrepancy_Resample Weight:0.637628	Resample Discrepancy0.072707	Resample Pool Num:473
Train Epoch:23 [batch_index:0/16]	Loss1:0.710439	Loss2:0.695569	Discrepancy:0.062590	Consistency weight:0.700784	Consistency loss_t1:0.042971	Consistency loss_t2:0.040601	Discrepancy_Resample Weight:0.700784	Resample Discrepancy0.071806	Resample Pool Num:464
Train Epoch:24 [batch_index:0/16]	Loss1:0.606211	Loss2:0.633851	Discrepancy:0.061128	Consistency weight:0.761685	Consistency loss_t1:0.041580	Consistency loss_t2:0.039643	Discrepancy_Resample Weight:0.761685	Resample Discrepancy0.070582	Resample Pool Num:416
Train Epoch:25 [batch_index:0/16]	Loss1:0.559992	Loss2:0.548013	Discrepancy:0.063060	Consistency weight:0.818731	Consistency loss_t1:0.040886	Consistency loss_t2:0.038170	Discrepancy_Resample Weight:0.818731	Resample Discrepancy0.068754	Resample Pool Num:424
Train Epoch:26 [batch_index:0/16]	Loss1:0.527299	Loss2:0.538654	Discrepancy:0.061568	Consistency weight:0.870325	Consistency loss_t1:0.042943	Consistency loss_t2:0.044162	Discrepancy_Resample Weight:0.870325	Resample Discrepancy0.066637	Resample Pool Num:409
Train Epoch:27 [batch_index:0/16]	Loss1:0.552579	Loss2:0.533582	Discrepancy:0.065631	Consistency weight:0.914947	Consistency loss_t1:0.044571	Consistency loss_t2:0.046272	Discrepancy_Resample Weight:0.914947	Resample Discrepancy0.069248	Resample Pool Num:405
Train Epoch:28 [batch_index:0/16]	Loss1:0.529361	Loss2:0.576257	Discrepancy:0.060508	Consistency weight:0.951229	Consistency loss_t1:0.043594	Consistency loss_t2:0.046767	Discrepancy_Resample Weight:0.951229	Resample Discrepancy0.072227	Resample Pool Num:382
Train Epoch:29 [batch_index:0/16]	Loss1:0.500852	Loss2:0.446119	Discrepancy:0.061419	Consistency weight:0.978023	Consistency loss_t1:0.050116	Consistency loss_t2:0.049229	Discrepancy_Resample Weight:0.978023	Resample Discrepancy0.069251	Resample Pool Num:370
Train Epoch:30 [batch_index:0/16]	Loss1:0.461502	Loss2:0.448789	Discrepancy:0.064889	Consistency weight:0.994460	Consistency loss_t1:0.053746	Consistency loss_t2:0.048302	Discrepancy_Resample Weight:0.994460	Resample Discrepancy0.072728	Resample Pool Num:353
Train Epoch:31 [batch_index:0/16]	Loss1:0.369467	Loss2:0.410937	Discrepancy:0.058650	Consistency weight:1.000000	Consistency loss_t1:0.052846	Consistency loss_t2:0.050736	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.068876	Resample Pool Num:372
Train Epoch:32 [batch_index:0/16]	Loss1:0.452063	Loss2:0.375507	Discrepancy:0.057923	Consistency weight:1.000000	Consistency loss_t1:0.055439	Consistency loss_t2:0.051658	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.067128	Resample Pool Num:332
Train Epoch:33 [batch_index:0/16]	Loss1:0.457974	Loss2:0.455496	Discrepancy:0.058364	Consistency weight:1.000000	Consistency loss_t1:0.056300	Consistency loss_t2:0.053943	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.072403	Resample Pool Num:332
Train Epoch:34 [batch_index:0/16]	Loss1:0.374002	Loss2:0.375295	Discrepancy:0.053698	Consistency weight:1.000000	Consistency loss_t1:0.059929	Consistency loss_t2:0.055389	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.072222	Resample Pool Num:342
