Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=False, seed=1, source='mnist', source_loader='mcd', supplementary_info='solver_fixed.py', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:1 [batch_index:0/16]	Loss1:2.381202	Loss2:2.353852	Discrepancy:0.034479	Consistency weight:0.006738	Consistency loss_t1:0.000880	Consistency loss_t2:0.001077	Discrepancy_Resample Weight:0.006738	Resample Discrepancy0.000000	Resample Pool Num:116
Train Epoch:2 [batch_index:0/16]	Loss1:2.296515	Loss2:2.269165	Discrepancy:0.034413	Consistency weight:0.017422	Consistency loss_t1:0.001706	Consistency loss_t2:0.001955	Discrepancy_Resample Weight:0.017422	Resample Discrepancy0.034187	Resample Pool Num:1873
Train Epoch:3 [batch_index:0/16]	Loss1:2.142582	Loss2:2.232833	Discrepancy:0.034860	Consistency weight:0.040762	Consistency loss_t1:0.001345	Consistency loss_t2:0.001594	Discrepancy_Resample Weight:0.040762	Resample Discrepancy0.033607	Resample Pool Num:3607
Train Epoch:4 [batch_index:0/16]	Loss1:2.119284	Loss2:2.116249	Discrepancy:0.034531	Consistency weight:0.086294	Consistency loss_t1:0.001403	Consistency loss_t2:0.001608	Discrepancy_Resample Weight:0.086294	Resample Discrepancy0.034448	Resample Pool Num:5292
Train Epoch:5 [batch_index:0/16]	Loss1:2.087815	Loss2:2.019370	Discrepancy:0.035866	Consistency weight:0.165299	Consistency loss_t1:0.001677	Consistency loss_t2:0.001880	Discrepancy_Resample Weight:0.165299	Resample Discrepancy0.034123	Resample Pool Num:6882
Train Epoch:6 [batch_index:0/16]	Loss1:1.985783	Loss2:1.902951	Discrepancy:0.036064	Consistency weight:0.286505	Consistency loss_t1:0.001830	Consistency loss_t2:0.002168	Discrepancy_Resample Weight:0.286505	Resample Discrepancy0.034714	Resample Pool Num:8411
Train Epoch:7 [batch_index:0/16]	Loss1:1.954583	Loss2:1.951504	Discrepancy:0.039337	Consistency weight:0.449329	Consistency loss_t1:0.002251	Consistency loss_t2:0.002750	Discrepancy_Resample Weight:0.449329	Resample Discrepancy0.036122	Resample Pool Num:9823
Train Epoch:8 [batch_index:0/16]	Loss1:1.819587	Loss2:1.791233	Discrepancy:0.039405	Consistency weight:0.637628	Consistency loss_t1:0.002671	Consistency loss_t2:0.003510	Discrepancy_Resample Weight:0.637628	Resample Discrepancy0.037309	Resample Pool Num:11091
Train Epoch:9 [batch_index:0/16]	Loss1:1.718778	Loss2:1.723977	Discrepancy:0.043171	Consistency weight:0.818731	Consistency loss_t1:0.003610	Consistency loss_t2:0.004710	Discrepancy_Resample Weight:0.818731	Resample Discrepancy0.040942	Resample Pool Num:12278
Train Epoch:10 [batch_index:0/16]	Loss1:1.699518	Loss2:1.661081	Discrepancy:0.040924	Consistency weight:0.951229	Consistency loss_t1:0.004847	Consistency loss_t2:0.004655	Discrepancy_Resample Weight:0.951229	Resample Discrepancy0.042257	Resample Pool Num:13434
Train Epoch:11 [batch_index:0/16]	Loss1:1.645720	Loss2:1.595696	Discrepancy:0.043931	Consistency weight:1.000000	Consistency loss_t1:0.005611	Consistency loss_t2:0.006142	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.044030	Resample Pool Num:14494
Train Epoch:12 [batch_index:0/16]	Loss1:1.579241	Loss2:1.567911	Discrepancy:0.045676	Consistency weight:1.000000	Consistency loss_t1:0.006089	Consistency loss_t2:0.007036	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.045286	Resample Pool Num:15493
Train Epoch:13 [batch_index:0/16]	Loss1:1.549532	Loss2:1.522871	Discrepancy:0.048102	Consistency weight:1.000000	Consistency loss_t1:0.007171	Consistency loss_t2:0.007991	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.045454	Resample Pool Num:16427
Train Epoch:14 [batch_index:0/16]	Loss1:1.389744	Loss2:1.365262	Discrepancy:0.048468	Consistency weight:1.000000	Consistency loss_t1:0.007940	Consistency loss_t2:0.007937	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.045755	Resample Pool Num:17317
Train Epoch:15 [batch_index:0/16]	Loss1:1.442340	Loss2:1.393646	Discrepancy:0.050437	Consistency weight:1.000000	Consistency loss_t1:0.009240	Consistency loss_t2:0.010132	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.050618	Resample Pool Num:18152
Train Epoch:16 [batch_index:0/16]	Loss1:1.365459	Loss2:1.294133	Discrepancy:0.053693	Consistency weight:1.000000	Consistency loss_t1:0.011432	Consistency loss_t2:0.010262	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.051297	Resample Pool Num:18979
Train Epoch:17 [batch_index:0/16]	Loss1:1.256526	Loss2:1.232020	Discrepancy:0.053756	Consistency weight:1.000000	Consistency loss_t1:0.012161	Consistency loss_t2:0.011125	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.049862	Resample Pool Num:19732
Train Epoch:18 [batch_index:0/16]	Loss1:1.197256	Loss2:1.148279	Discrepancy:0.054504	Consistency weight:1.000000	Consistency loss_t1:0.013149	Consistency loss_t2:0.012833	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.052092	Resample Pool Num:20436
Train Epoch:19 [batch_index:0/16]	Loss1:1.244222	Loss2:1.152413	Discrepancy:0.057313	Consistency weight:1.000000	Consistency loss_t1:0.016028	Consistency loss_t2:0.014924	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.053408	Resample Pool Num:21157
Train Epoch:20 [batch_index:0/16]	Loss1:1.148639	Loss2:1.102796	Discrepancy:0.059250	Consistency weight:1.000000	Consistency loss_t1:0.013930	Consistency loss_t2:0.015439	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.056745	Resample Pool Num:21889
Train Epoch:21 [batch_index:0/16]	Loss1:1.092498	Loss2:1.133260	Discrepancy:0.060326	Consistency weight:1.000000	Consistency loss_t1:0.019123	Consistency loss_t2:0.016833	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.052078	Resample Pool Num:22528
Train Epoch:22 [batch_index:0/16]	Loss1:0.989316	Loss2:0.944456	Discrepancy:0.056933	Consistency weight:1.000000	Consistency loss_t1:0.020315	Consistency loss_t2:0.018580	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.053856	Resample Pool Num:23168
Train Epoch:23 [batch_index:0/16]	Loss1:0.960733	Loss2:0.994936	Discrepancy:0.059080	Consistency weight:1.000000	Consistency loss_t1:0.020217	Consistency loss_t2:0.021252	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.054192	Resample Pool Num:23766
Train Epoch:24 [batch_index:0/16]	Loss1:0.941322	Loss2:0.870589	Discrepancy:0.059684	Consistency weight:1.000000	Consistency loss_t1:0.021032	Consistency loss_t2:0.021332	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.063147	Resample Pool Num:24324
Train Epoch:25 [batch_index:0/16]	Loss1:0.923202	Loss2:0.864227	Discrepancy:0.060943	Consistency weight:1.000000	Consistency loss_t1:0.024080	Consistency loss_t2:0.023512	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.063696	Resample Pool Num:24894
Train Epoch:26 [batch_index:0/16]	Loss1:0.838468	Loss2:0.837122	Discrepancy:0.059047	Consistency weight:1.000000	Consistency loss_t1:0.024891	Consistency loss_t2:0.025683	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.055547	Resample Pool Num:25436
Train Epoch:27 [batch_index:0/16]	Loss1:0.752273	Loss2:0.743289	Discrepancy:0.062923	Consistency weight:1.000000	Consistency loss_t1:0.028030	Consistency loss_t2:0.024405	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.062883	Resample Pool Num:25928
Train Epoch:28 [batch_index:0/16]	Loss1:0.770676	Loss2:0.764102	Discrepancy:0.060752	Consistency weight:1.000000	Consistency loss_t1:0.029259	Consistency loss_t2:0.030239	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.064473	Resample Pool Num:26399
Train Epoch:29 [batch_index:0/16]	Loss1:0.781602	Loss2:0.716399	Discrepancy:0.063214	Consistency weight:1.000000	Consistency loss_t1:0.028828	Consistency loss_t2:0.031120	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.062672	Resample Pool Num:26874
Train Epoch:30 [batch_index:0/16]	Loss1:0.775081	Loss2:0.644442	Discrepancy:0.061201	Consistency weight:1.000000	Consistency loss_t1:0.034341	Consistency loss_t2:0.031522	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.060465	Resample Pool Num:27340
Train Epoch:31 [batch_index:0/16]	Loss1:0.678685	Loss2:0.710432	Discrepancy:0.061482	Consistency weight:1.000000	Consistency loss_t1:0.033675	Consistency loss_t2:0.034514	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058687	Resample Pool Num:27797
Train Epoch:32 [batch_index:0/16]	Loss1:0.732482	Loss2:0.624722	Discrepancy:0.062102	Consistency weight:1.000000	Consistency loss_t1:0.033192	Consistency loss_t2:0.033964	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.059508	Resample Pool Num:28211
Train Epoch:33 [batch_index:0/16]	Loss1:0.618577	Loss2:0.601103	Discrepancy:0.063878	Consistency weight:1.000000	Consistency loss_t1:0.038862	Consistency loss_t2:0.037804	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.060954	Resample Pool Num:28652
Train Epoch:34 [batch_index:0/16]	Loss1:0.592063	Loss2:0.558224	Discrepancy:0.063126	Consistency weight:1.000000	Consistency loss_t1:0.037163	Consistency loss_t2:0.035647	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058486	Resample Pool Num:29084
Train Epoch:35 [batch_index:0/16]	Loss1:0.545972	Loss2:0.553001	Discrepancy:0.062610	Consistency weight:1.000000	Consistency loss_t1:0.040169	Consistency loss_t2:0.039699	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.060777	Resample Pool Num:29503
Train Epoch:36 [batch_index:0/16]	Loss1:0.567616	Loss2:0.526672	Discrepancy:0.060722	Consistency weight:1.000000	Consistency loss_t1:0.043788	Consistency loss_t2:0.041091	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.067907	Resample Pool Num:29888
Train Epoch:37 [batch_index:0/16]	Loss1:0.493662	Loss2:0.493197	Discrepancy:0.061623	Consistency weight:1.000000	Consistency loss_t1:0.042337	Consistency loss_t2:0.042988	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058399	Resample Pool Num:30291
Train Epoch:38 [batch_index:0/16]	Loss1:0.535396	Loss2:0.509325	Discrepancy:0.060755	Consistency weight:1.000000	Consistency loss_t1:0.045367	Consistency loss_t2:0.043362	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058338	Resample Pool Num:30681
Train Epoch:39 [batch_index:0/16]	Loss1:0.564524	Loss2:0.449478	Discrepancy:0.054236	Consistency weight:1.000000	Consistency loss_t1:0.044363	Consistency loss_t2:0.043545	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.056069	Resample Pool Num:31073
Train Epoch:40 [batch_index:0/16]	Loss1:0.466036	Loss2:0.419115	Discrepancy:0.058038	Consistency weight:1.000000	Consistency loss_t1:0.046959	Consistency loss_t2:0.046550	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.066874	Resample Pool Num:31474
Train Epoch:41 [batch_index:0/16]	Loss1:0.454748	Loss2:0.411025	Discrepancy:0.056542	Consistency weight:1.000000	Consistency loss_t1:0.050359	Consistency loss_t2:0.048599	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.050769	Resample Pool Num:31853
Train Epoch:42 [batch_index:0/16]	Loss1:0.419201	Loss2:0.392726	Discrepancy:0.056713	Consistency weight:1.000000	Consistency loss_t1:0.050966	Consistency loss_t2:0.051218	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058172	Resample Pool Num:32219
Train Epoch:43 [batch_index:0/16]	Loss1:0.396501	Loss2:0.408606	Discrepancy:0.056931	Consistency weight:1.000000	Consistency loss_t1:0.051269	Consistency loss_t2:0.049552	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.065365	Resample Pool Num:32582
Train Epoch:44 [batch_index:0/16]	Loss1:0.287871	Loss2:0.330471	Discrepancy:0.058309	Consistency weight:1.000000	Consistency loss_t1:0.051366	Consistency loss_t2:0.050221	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058047	Resample Pool Num:32932
Train Epoch:45 [batch_index:0/16]	Loss1:0.429091	Loss2:0.392442	Discrepancy:0.055580	Consistency weight:1.000000	Consistency loss_t1:0.053971	Consistency loss_t2:0.053857	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.067005	Resample Pool Num:33285
