Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=False, seed=1, source='mnist', source_loader='mcd', supplementary_info='solver_fixed.py, inconsistency samples gradient reverse=Fale', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:1 [batch_index:0/16]	Loss1:2.378888	Loss2:2.377814	Discrepancy:0.034427	Consistency weight:0.006738	Consistency loss_t1:0.000915	Consistency loss_t2:0.001058	Discrepancy_Resample Weight:0.006738	Resample Discrepancy0.000000	Resample Pool Num:123
Train Epoch:2 [batch_index:0/16]	Loss1:2.261439	Loss2:2.228249	Discrepancy:0.033462	Consistency weight:0.017422	Consistency loss_t1:0.001689	Consistency loss_t2:0.001697	Discrepancy_Resample Weight:0.017422	Resample Discrepancy0.033687	Resample Pool Num:1859
Train Epoch:3 [batch_index:0/16]	Loss1:2.227470	Loss2:2.171257	Discrepancy:0.035506	Consistency weight:0.040762	Consistency loss_t1:0.001428	Consistency loss_t2:0.001768	Discrepancy_Resample Weight:0.040762	Resample Discrepancy0.034296	Resample Pool Num:3601
Train Epoch:4 [batch_index:0/16]	Loss1:2.144380	Loss2:2.088865	Discrepancy:0.034251	Consistency weight:0.086294	Consistency loss_t1:0.001324	Consistency loss_t2:0.001670	Discrepancy_Resample Weight:0.086294	Resample Discrepancy0.033728	Resample Pool Num:5288
Train Epoch:5 [batch_index:0/16]	Loss1:2.070140	Loss2:2.032880	Discrepancy:0.033731	Consistency weight:0.165299	Consistency loss_t1:0.001473	Consistency loss_t2:0.002105	Discrepancy_Resample Weight:0.165299	Resample Discrepancy0.034720	Resample Pool Num:6866
Train Epoch:6 [batch_index:0/16]	Loss1:2.024817	Loss2:1.979074	Discrepancy:0.036929	Consistency weight:0.286505	Consistency loss_t1:0.002158	Consistency loss_t2:0.002803	Discrepancy_Resample Weight:0.286505	Resample Discrepancy0.036189	Resample Pool Num:8348
Train Epoch:7 [batch_index:0/16]	Loss1:1.865813	Loss2:1.869572	Discrepancy:0.038667	Consistency weight:0.449329	Consistency loss_t1:0.002285	Consistency loss_t2:0.003197	Discrepancy_Resample Weight:0.449329	Resample Discrepancy0.037504	Resample Pool Num:9738
Train Epoch:8 [batch_index:0/16]	Loss1:1.875067	Loss2:1.833167	Discrepancy:0.039651	Consistency weight:0.637628	Consistency loss_t1:0.002901	Consistency loss_t2:0.003490	Discrepancy_Resample Weight:0.637628	Resample Discrepancy0.040119	Resample Pool Num:10992
Train Epoch:9 [batch_index:0/16]	Loss1:1.841224	Loss2:1.761177	Discrepancy:0.040600	Consistency weight:0.818731	Consistency loss_t1:0.003360	Consistency loss_t2:0.004572	Discrepancy_Resample Weight:0.818731	Resample Discrepancy0.040834	Resample Pool Num:12150
Train Epoch:10 [batch_index:0/16]	Loss1:1.673961	Loss2:1.654986	Discrepancy:0.042156	Consistency weight:0.951229	Consistency loss_t1:0.004023	Consistency loss_t2:0.005130	Discrepancy_Resample Weight:0.951229	Resample Discrepancy0.041634	Resample Pool Num:13227
Train Epoch:11 [batch_index:0/16]	Loss1:1.614058	Loss2:1.596570	Discrepancy:0.045606	Consistency weight:1.000000	Consistency loss_t1:0.005739	Consistency loss_t2:0.006978	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.044630	Resample Pool Num:14239
Train Epoch:12 [batch_index:0/16]	Loss1:1.675101	Loss2:1.618112	Discrepancy:0.043973	Consistency weight:1.000000	Consistency loss_t1:0.005973	Consistency loss_t2:0.006896	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.046275	Resample Pool Num:15177
Train Epoch:13 [batch_index:0/16]	Loss1:1.557570	Loss2:1.550190	Discrepancy:0.049056	Consistency weight:1.000000	Consistency loss_t1:0.007961	Consistency loss_t2:0.008849	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.045796	Resample Pool Num:16080
Train Epoch:14 [batch_index:0/16]	Loss1:1.357441	Loss2:1.419774	Discrepancy:0.049076	Consistency weight:1.000000	Consistency loss_t1:0.007471	Consistency loss_t2:0.009380	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.046276	Resample Pool Num:16873
Train Epoch:15 [batch_index:0/16]	Loss1:1.313528	Loss2:1.319044	Discrepancy:0.049895	Consistency weight:1.000000	Consistency loss_t1:0.009401	Consistency loss_t2:0.009349	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.048060	Resample Pool Num:17698
Train Epoch:16 [batch_index:0/16]	Loss1:1.381254	Loss2:1.306217	Discrepancy:0.051103	Consistency weight:1.000000	Consistency loss_t1:0.010666	Consistency loss_t2:0.012272	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.051968	Resample Pool Num:18488
Train Epoch:17 [batch_index:0/16]	Loss1:1.276023	Loss2:1.239170	Discrepancy:0.054797	Consistency weight:1.000000	Consistency loss_t1:0.012667	Consistency loss_t2:0.013594	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.047358	Resample Pool Num:19194
Train Epoch:18 [batch_index:0/16]	Loss1:1.170537	Loss2:1.154610	Discrepancy:0.056485	Consistency weight:1.000000	Consistency loss_t1:0.014515	Consistency loss_t2:0.014786	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.050921	Resample Pool Num:19864
Train Epoch:19 [batch_index:0/16]	Loss1:1.160525	Loss2:1.159746	Discrepancy:0.056006	Consistency weight:1.000000	Consistency loss_t1:0.014923	Consistency loss_t2:0.016862	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.053596	Resample Pool Num:20525
Train Epoch:20 [batch_index:0/16]	Loss1:1.123546	Loss2:1.062594	Discrepancy:0.055662	Consistency weight:1.000000	Consistency loss_t1:0.016034	Consistency loss_t2:0.017380	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058497	Resample Pool Num:21141
Train Epoch:21 [batch_index:0/16]	Loss1:1.080202	Loss2:1.036489	Discrepancy:0.058717	Consistency weight:1.000000	Consistency loss_t1:0.017630	Consistency loss_t2:0.019532	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.055123	Resample Pool Num:21752
Train Epoch:22 [batch_index:0/16]	Loss1:1.001067	Loss2:0.976996	Discrepancy:0.055784	Consistency weight:1.000000	Consistency loss_t1:0.018517	Consistency loss_t2:0.020130	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058949	Resample Pool Num:22381
Train Epoch:23 [batch_index:0/16]	Loss1:0.946859	Loss2:0.966433	Discrepancy:0.060773	Consistency weight:1.000000	Consistency loss_t1:0.020205	Consistency loss_t2:0.022092	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.053512	Resample Pool Num:22910
Train Epoch:24 [batch_index:0/16]	Loss1:0.930620	Loss2:0.979434	Discrepancy:0.060184	Consistency weight:1.000000	Consistency loss_t1:0.022120	Consistency loss_t2:0.023190	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.056623	Resample Pool Num:23435
Train Epoch:25 [batch_index:0/16]	Loss1:0.915596	Loss2:0.892273	Discrepancy:0.062231	Consistency weight:1.000000	Consistency loss_t1:0.027446	Consistency loss_t2:0.024106	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.054899	Resample Pool Num:23957
Train Epoch:26 [batch_index:0/16]	Loss1:0.963418	Loss2:0.853755	Discrepancy:0.062705	Consistency weight:1.000000	Consistency loss_t1:0.026291	Consistency loss_t2:0.029862	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058997	Resample Pool Num:24460
