Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=False, seed=1, source='mnist', source_loader='mcd', supplementary_info='', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=0.1, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:1 [batch_index:0/16]	Loss1:2.362372	Loss2:2.378392	Discrepancy:0.035479	Consistency weight:0.006738	Consistency loss_t1:0.000960	Consistency loss_t2:0.001281	Discrepancy_Resample Weight:0.006738	Resample Discrepancy0.000000	Resample Pool Num:116
Train Epoch:2 [batch_index:0/16]	Loss1:2.266265	Loss2:2.234691	Discrepancy:0.033712	Consistency weight:0.017422	Consistency loss_t1:0.001818	Consistency loss_t2:0.001797	Discrepancy_Resample Weight:0.017422	Resample Discrepancy0.033133	Resample Pool Num:1843
Train Epoch:3 [batch_index:0/16]	Loss1:2.221971	Loss2:2.151557	Discrepancy:0.034116	Consistency weight:0.040762	Consistency loss_t1:0.001457	Consistency loss_t2:0.001459	Discrepancy_Resample Weight:0.040762	Resample Discrepancy0.032182	Resample Pool Num:3574
Train Epoch:4 [batch_index:0/16]	Loss1:2.119780	Loss2:2.058975	Discrepancy:0.033571	Consistency weight:0.086294	Consistency loss_t1:0.001283	Consistency loss_t2:0.001594	Discrepancy_Resample Weight:0.086294	Resample Discrepancy0.033164	Resample Pool Num:5258
Train Epoch:5 [batch_index:0/16]	Loss1:2.055924	Loss2:2.038986	Discrepancy:0.035520	Consistency weight:0.165299	Consistency loss_t1:0.001465	Consistency loss_t2:0.002035	Discrepancy_Resample Weight:0.165299	Resample Discrepancy0.033326	Resample Pool Num:6863
Train Epoch:6 [batch_index:0/16]	Loss1:1.982117	Loss2:1.981113	Discrepancy:0.034396	Consistency weight:0.286505	Consistency loss_t1:0.001814	Consistency loss_t2:0.002157	Discrepancy_Resample Weight:0.286505	Resample Discrepancy0.034248	Resample Pool Num:8358
Train Epoch:7 [batch_index:0/16]	Loss1:1.977619	Loss2:1.903338	Discrepancy:0.035940	Consistency weight:0.449329	Consistency loss_t1:0.002306	Consistency loss_t2:0.002859	Discrepancy_Resample Weight:0.449329	Resample Discrepancy0.034910	Resample Pool Num:9711
Train Epoch:8 [batch_index:0/16]	Loss1:1.883764	Loss2:1.862577	Discrepancy:0.037218	Consistency weight:0.637628	Consistency loss_t1:0.003033	Consistency loss_t2:0.003298	Discrepancy_Resample Weight:0.637628	Resample Discrepancy0.036707	Resample Pool Num:10953
Train Epoch:9 [batch_index:0/16]	Loss1:1.845829	Loss2:1.752007	Discrepancy:0.038949	Consistency weight:0.818731	Consistency loss_t1:0.003230	Consistency loss_t2:0.003274	Discrepancy_Resample Weight:0.818731	Resample Discrepancy0.039213	Resample Pool Num:12090
Train Epoch:10 [batch_index:0/16]	Loss1:1.782979	Loss2:1.719507	Discrepancy:0.040180	Consistency weight:0.951229	Consistency loss_t1:0.003977	Consistency loss_t2:0.004826	Discrepancy_Resample Weight:0.951229	Resample Discrepancy0.039096	Resample Pool Num:13131
Train Epoch:11 [batch_index:0/16]	Loss1:1.560395	Loss2:1.588683	Discrepancy:0.043286	Consistency weight:1.000000	Consistency loss_t1:0.004983	Consistency loss_t2:0.005771	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.043115	Resample Pool Num:14143
Train Epoch:12 [batch_index:0/16]	Loss1:1.557032	Loss2:1.563295	Discrepancy:0.044910	Consistency weight:1.000000	Consistency loss_t1:0.004965	Consistency loss_t2:0.007167	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.042047	Resample Pool Num:15077
Train Epoch:13 [batch_index:0/16]	Loss1:1.475516	Loss2:1.527186	Discrepancy:0.042931	Consistency weight:1.000000	Consistency loss_t1:0.006490	Consistency loss_t2:0.006633	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.045894	Resample Pool Num:16007
